gene,module,cell_type,tissue,regulation
GeneUp423,Common up,Cort,Pituitary,Unchanged
GeneUp424,Common up,Cort,Pituitary,Unchanged
GeneUp425,Common up,Cort,Pituitary,Unchanged
GeneUp426,Common up,Cort,Pituitary,Unchanged
GeneUp427,Common up,Cort,Pituitary,Unchanged
GeneUp428,Common up,Cort,Pituitary,Unchanged
GeneUp429,Common up,Cort,Pituitary,Unchanged
GeneUp430,Common up,Cort,Pituitary,Unchanged
GeneUp431,Common up,Cort,Pituitary,Unchanged
GeneUp432,Common up,Cort,Pituitary,Unchanged
GeneUp433,Common up,Cort,Pituitary,Unchanged
GeneUp434,Common up,Cort,Pituitary,Unchanged
GeneUp435,Common up,Cort,Pituitary,Unchanged
GeneUp436,Common up,Cort,Pituitary,Unchanged
GeneUp437,Common up,Cort,Pituitary,Unchanged
GeneUp438,Common up,Cort,Pituitary,Unchanged
GeneUp001,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp002,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp003,Common up,Lac,Pituitary,Unchanged
GeneUp004,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp005,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp006,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp007,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp008,Common up,Lac,Pituitary,Unchanged
GeneUp009,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp010,Common up,Lac,Pituitary,Unchanged
GeneUp011,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp012,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp013,Common up,Lac,Pituitary,Unchanged
GeneUp014,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp015,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp016,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp017,Common up,Lac,Pituitary,Unchanged
GeneUp018,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp019,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp020,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp021,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp022,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp023,Common up,Lac,Pituitary,Unchanged
GeneUp024,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp025,Common up,Lac,Pituitary,Unchanged
GeneUp026,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp027,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp028,Common up,Lac,Pituitary,Unchanged
GeneUp029,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp030,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp031,Common up,Lac,Pituitary,Unchanged
GeneUp032,Common up,Lac,Pituitary,Unchanged
GeneUp033,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp034,Common up,Lac,Pituitary,Unchanged
GeneUp035,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp036,Common up,Lac,Pituitary,Unchanged
GeneUp037,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp038,Common up,Lac,Pituitary,Unchanged
GeneUp039,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp040,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp041,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp042,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp043,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp044,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp045,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp046,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp047,Common up,Lac,Pituitary,Unchanged
GeneUp048,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp049,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp050,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp051,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp052,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp053,Common up,Lac,Pituitary,Unchanged
GeneUp054,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp055,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp056,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp057,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp058,Common up,Lac,Pituitary,Unchanged
GeneUp059,Common up,Lac,Pituitary,Unchanged
GeneUp060,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp061,Common up,Lac,Pituitary,Unchanged
GeneUp062,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp063,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp064,Common up,Lac,Pituitary,Unchanged
GeneUp065,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp066,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp067,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp068,Common up,Lac,Pituitary,Unchanged
GeneUp069,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp070,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp071,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp072,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp073,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp074,Common up,Lac,Pituitary,Unchanged
GeneUp075,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp076,Common up,Lac,Pituitary,Unchanged
GeneUp077,Common up,Lac,Pituitary,Unchanged
GeneUp078,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp079,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp080,Common up,Lac,Pituitary,Unchanged
GeneUp081,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp082,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp083,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp084,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp085,Common up,Lac,Pituitary,Unchanged
GeneUp086,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp087,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp088,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp089,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp090,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp091,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp092,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp093,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp094,Common up,Lac,Pituitary,Unchanged
GeneUp095,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp096,Common up,Lac,Pituitary,Unchanged
GeneUp097,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp098,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp099,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp100,Common up,Lac,Pituitary,Unchanged
GeneUp101,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp102,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp103,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp104,Common up,Lac,Pituitary,Unchanged
GeneUp105,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp106,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp107,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp108,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp109,Common up,Lac,Pituitary,Unchanged
GeneUp110,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp111,Common up,Lac,Pituitary,Unchanged
GeneUp112,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp113,Common up,Lac,Pituitary,Unchanged
GeneUp114,Common up,Lac,Pituitary,Unchanged
GeneUp115,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp116,Common up,Lac,Pituitary,Unchanged
GeneUp117,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp118,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp119,Common up,Lac,Pituitary,Unchanged
GeneUp120,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp121,Common up,Lac,Pituitary,Unchanged
GeneUp122,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp123,Common up,Lac,Pituitary,Unchanged
GeneUp124,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp125,Common up,Lac,Pituitary,Unchanged
GeneUp126,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp127,Common up,Lac,Pituitary,Unchanged
GeneUp128,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp129,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp130,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp131,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp132,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp133,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp134,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp135,Common up,Lac,Pituitary,Unchanged
GeneUp136,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp137,Common up,Lac,Pituitary,Unchanged
GeneUp138,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp139,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp140,Common up,Lac,Pituitary,Unchanged
GeneUp141,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp142,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp143,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp144,Common up,Lac,Pituitary,Unchanged
GeneUp145,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp146,Common up,Lac,Pituitary,Unchanged
GeneUp147,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp148,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp149,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp150,Common up,Lac,Pituitary,Unchanged
GeneUp151,Common up,Lac,Pituitary,Unchanged
GeneUp152,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp153,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp154,Common up,Lac,Pituitary,Unchanged
GeneUp155,Common up,Lac,Pituitary,Unchanged
GeneUp156,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp157,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp158,Common up,Lac,Pituitary,Unchanged
GeneUp159,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp160,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp161,Common up,Lac,Pituitary,Unchanged
GeneUp162,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp163,Common up,Lac,Pituitary,Unchanged
GeneUp164,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp165,Common up,Lac,Pituitary,Unchanged
GeneUp166,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp167,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp168,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp169,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp170,Common up,Lac,Pituitary,Unchanged
GeneUp171,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp172,Common up,Lac,Pituitary,Unchanged
GeneUp173,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp174,Common up,Lac,Pituitary,Unchanged
GeneUp175,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp176,Common up,Lac,Pituitary,Unchanged
GeneUp177,Common up,Lac,Pituitary,Unchanged
GeneUp178,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp179,Common up,Lac,Pituitary,Unchanged
GeneUp180,Common up,Lac,Pituitary,Unchanged
GeneUp181,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp182,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp183,Common up,Lac,Pituitary,Unchanged
GeneUp184,Common up,Lac,Pituitary,Unchanged
GeneUp185,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp186,Common up,Lac,Pituitary,Unchanged
GeneUp187,Common up,Lac,Pituitary,Unchanged
GeneUp188,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp189,Common up,Lac,Pituitary,Unchanged
GeneUp190,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp191,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp192,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp193,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp194,Common up,Lac,Pituitary,Unchanged
GeneUp195,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp196,Common up,Lac,Pituitary,Unchanged
GeneUp197,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp198,Common up,Lac,Pituitary,Unchanged
GeneUp199,Common up,Lac,Pituitary,Unchanged
GeneUp200,Common up,Lac,Pituitary,Unchanged
GeneUp201,Common up,Lac,Pituitary,Unchanged
GeneUp202,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp203,Common up,Lac,Pituitary,Unchanged
GeneUp204,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp205,Common up,Lac,Pituitary,Unchanged
GeneUp206,Common up,Lac,Pituitary,Unchanged
GeneUp207,Common up,Lac,Pituitary,Unchanged
GeneUp208,Common up,Lac,Pituitary,Unchanged
GeneUp209,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp210,Common up,Lac,Pituitary,Unchanged
GeneUp211,Common up,Lac,Pituitary,Unchanged
GeneUp212,Common up,Lac,Pituitary,Unchanged
GeneUp213,Common up,Lac,Pituitary,Unchanged
GeneUp214,Common up,Lac,Pituitary,Unchanged
GeneUp215,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp216,Common up,Lac,Pituitary,Unchanged
GeneUp217,Common up,Lac,Pituitary,Unchanged
GeneUp218,Common up,Lac,Pituitary,Unchanged
GeneUp219,Common up,Lac,Pituitary,Unchanged
GeneUp220,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp221,Common up,Lac,Pituitary,Unchanged
GeneUp222,Common up,Lac,Pituitary,Unchanged
GeneUp223,Common up,Lac,Pituitary,Unchanged
GeneUp224,Common up,Lac,Pituitary,Unchanged
GeneUp225,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp226,Common up,Lac,Pituitary,Unchanged
GeneUp227,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp228,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp229,Common up,Lac,Pituitary,Unchanged
GeneUp230,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp231,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp232,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp233,Common up,Lac,Pituitary,Unchanged
GeneUp234,Common up,Lac,Pituitary,Unchanged
GeneUp235,Common up,Lac,Pituitary,Unchanged
GeneUp236,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp237,Common up,Lac,Pituitary,Unchanged
GeneUp238,Common up,Lac,Pituitary,Unchanged
GeneUp239,Common up,Lac,Pituitary,Unchanged
GeneUp240,Common up,Lac,Pituitary,Unchanged
GeneUp241,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp242,Common up,Lac,Pituitary,Unchanged
GeneUp243,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp244,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp245,Common up,Lac,Pituitary,Unchanged
GeneUp246,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp247,Common up,Lac,Pituitary,Unchanged
GeneUp248,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp249,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp250,Common up,Lac,Pituitary,Unchanged
GeneUp251,Common up,Lac,Pituitary,Unchanged
GeneUp252,Common up,Lac,Pituitary,Unchanged
GeneUp253,Common up,Lac,Pituitary,Unchanged
GeneUp254,Common up,Lac,Pituitary,Unchanged
GeneUp255,Common up,Lac,Pituitary,Unchanged
GeneUp256,Common up,Lac,Pituitary,Unchanged
GeneUp257,Common up,Lac,Pituitary,Unchanged
GeneUp258,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp259,Common up,Lac,Pituitary,Unchanged
GeneUp260,Common up,Lac,Pituitary,Unchanged
GeneUp261,Common up,Lac,Pituitary,Unchanged
GeneUp262,Common up,Lac,Pituitary,Unchanged
GeneUp263,Common up,Lac,Pituitary,Unchanged
GeneUp264,Common up,Lac,Pituitary,Unchanged
GeneUp265,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp266,Common up,Lac,Pituitary,Unchanged
GeneUp267,Common up,Lac,Pituitary,Unchanged
GeneUp268,Common up,Lac,Pituitary,Unchanged
GeneUp269,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp270,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp271,Common up,Lac,Pituitary,Unchanged
GeneUp272,Common up,Lac,Pituitary,Unchanged
GeneUp273,Common up,Lac,Pituitary,Unchanged
GeneUp274,Common up,Lac,Pituitary,Unchanged
GeneUp275,Common up,Lac,Pituitary,Unchanged
GeneUp276,Common up,Lac,Pituitary,Unchanged
GeneUp277,Common up,Lac,Pituitary,Unchanged
GeneUp278,Common up,Lac,Pituitary,Unchanged
GeneUp279,Common up,Lac,Pituitary,Unchanged
GeneUp280,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp281,Common up,Lac,Pituitary,Unchanged
GeneUp282,Common up,Lac,Pituitary,Unchanged
GeneUp283,Common up,Lac,Pituitary,Unchanged
GeneUp284,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp285,Common up,Lac,Pituitary,Unchanged
GeneUp286,Common up,Lac,Pituitary,Unchanged
GeneUp287,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp288,Common up,Lac,Pituitary,Unchanged
GeneUp289,Common up,Lac,Pituitary,Unchanged
GeneUp290,Common up,Lac,Pituitary,Unchanged
GeneUp291,Common up,Lac,Pituitary,Unchanged
GeneUp292,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp293,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp294,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp295,Common up,Lac,Pituitary,Unchanged
GeneUp296,Common up,Lac,Pituitary,Unchanged
GeneUp297,Common up,Lac,Pituitary,Unchanged
GeneUp298,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp299,Common up,Lac,Pituitary,Unchanged
GeneUp300,Common up,Lac,Pituitary,Unchanged
GeneUp301,Common up,Lac,Pituitary,Unchanged
GeneUp302,Common up,Lac,Pituitary,Unchanged
GeneUp303,Common up,Lac,Pituitary,Unchanged
GeneUp304,Common up,Lac,Pituitary,Unchanged
GeneUp305,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp306,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp307,Common up,Lac,Pituitary,Unchanged
GeneUp308,Common up,Lac,Pituitary,Unchanged
GeneUp309,Common up,Lac,Pituitary,Unchanged
GeneUp310,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp311,Common up,Lac,Pituitary,Unchanged
GeneUp312,Common up,Lac,Pituitary,Unchanged
GeneUp313,Common up,Lac,Pituitary,Unchanged
GeneUp314,Common up,Lac,Pituitary,Unchanged
GeneUp315,Common up,Lac,Pituitary,Unchanged
GeneUp316,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp317,Common up,Lac,Pituitary,Unchanged
GeneUp318,Common up,Lac,Pituitary,Unchanged
GeneUp319,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp320,Common up,Lac,Pituitary,Unchanged
GeneUp321,Common up,Lac,Pituitary,Unchanged
GeneUp322,Common up,Lac,Pituitary,Unchanged
GeneUp323,Common up,Lac,Pituitary,Unchanged
GeneUp324,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp325,Common up,Lac,Pituitary,Unchanged
GeneUp326,Common up,Lac,Pituitary,Unchanged
GeneUp327,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp328,Common up,Lac,Pituitary,Unchanged
GeneUp329,Common up,Lac,Pituitary,Unchanged
GeneUp330,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp331,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp332,Common up,Lac,Pituitary,Unchanged
GeneUp333,Common up,Lac,Pituitary,Unchanged
GeneUp334,Common up,Lac,Pituitary,Unchanged
GeneUp335,Common up,Lac,Pituitary,Unchanged
GeneUp336,Common up,Lac,Pituitary,Unchanged
GeneUp337,Common up,Lac,Pituitary,Unchanged
GeneUp338,Common up,Lac,Pituitary,Unchanged
GeneUp339,Common up,Lac,Pituitary,Unchanged
GeneUp340,Common up,Lac,Pituitary,Unchanged
GeneUp341,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp342,Common up,Lac,Pituitary,Unchanged
GeneUp343,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp344,Common up,Lac,Pituitary,Unchanged
GeneUp345,Common up,Lac,Pituitary,Unchanged
GeneUp346,Common up,Lac,Pituitary,Unchanged
GeneUp347,Common up,Lac,Pituitary,Unchanged
GeneUp348,Common up,Lac,Pituitary,Unchanged
GeneUp349,Common up,Lac,Pituitary,Unchanged
GeneUp350,Common up,Lac,Pituitary,Unchanged
GeneUp351,Common up,Lac,Pituitary,Unchanged
GeneUp352,Common up,Lac,Pituitary,Unchanged
GeneUp353,Common up,Lac,Pituitary,Unchanged
GeneUp354,Common up,Lac,Pituitary,Unchanged
GeneUp355,Common up,Lac,Pituitary,Unchanged
GeneUp356,Common up,Lac,Pituitary,Unchanged
GeneUp357,Common up,Lac,Pituitary,Unchanged
GeneUp358,Common up,Lac,Pituitary,Unchanged
GeneUp359,Common up,Lac,Pituitary,Unchanged
GeneUp360,Common up,Lac,Pituitary,Unchanged
GeneUp361,Common up,Lac,Pituitary,Unchanged
GeneUp362,Common up,Lac,Pituitary,Unchanged
GeneUp363,Common up,Lac,Pituitary,Unchanged
GeneUp364,Common up,Lac,Pituitary,Unchanged
GeneUp365,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp366,Common up,Lac,Pituitary,Unchanged
GeneUp367,Common up,Lac,Pituitary,Unchanged
GeneUp368,Common up,Lac,Pituitary,Unchanged
GeneUp369,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp370,Common up,Lac,Pituitary,Unchanged
GeneUp371,Common up,Lac,Pituitary,Unchanged
GeneUp372,Common up,Lac,Pituitary,Unchanged
GeneUp373,Common up,Lac,Pituitary,Unchanged
GeneUp374,Common up,Lac,Pituitary,Unchanged
GeneUp375,Common up,Lac,Pituitary,Unchanged
GeneUp376,Common up,Lac,Pituitary,Unchanged
GeneUp377,Common up,Lac,Pituitary,Downregulated in T1DM
GeneUp378,Common up,Lac,Pituitary,Unchanged
GeneUp379,Common up,Lac,Pituitary,Unchanged
GeneUp380,Common up,Lac,Pituitary,Unchanged
GeneUp381,Common up,Lac,Pituitary,Unchanged
GeneUp382,Common up,Lac,Pituitary,Unchanged
GeneUp383,Common up,Lac,Pituitary,Unchanged
GeneUp384,Common up,Lac,Pituitary,Unchanged
GeneUp385,Common up,Lac,Pituitary,Unchanged
GeneUp386,Common up,Lac,Pituitary,Unchanged
GeneUp387,Common up,Lac,Pituitary,Unchanged
GeneUp388,Common up,Lac,Pituitary,Unchanged
GeneUp389,Common up,Lac,Pituitary,Unchanged
GeneUp390,Common up,Lac,Pituitary,Unchanged
GeneUp391,Common up,Lac,Pituitary,Unchanged
GeneUp392,Common up,Lac,Pituitary,Unchanged
GeneUp393,Common up,Lac,Pituitary,Unchanged
GeneUp394,Common up,Lac,Pituitary,Unchanged
GeneUp395,Common up,Lac,Pituitary,Unchanged
GeneUp396,Common up,Lac,Pituitary,Unchanged
GeneUp397,Common up,Lac,Pituitary,Unchanged
GeneUp398,Common up,Lac,Pituitary,Unchanged
GeneUp399,Common up,Lac,Pituitary,Unchanged
GeneUp400,Common up,Lac,Pituitary,Unchanged
GeneUp401,Common up,Lac,Pituitary,Unchanged
GeneUp402,Common up,Lac,Pituitary,Unchanged
GeneUp403,Common up,Lac,Pituitary,Unchanged
GeneUp404,Common up,Lac,Pituitary,Unchanged
GeneUp405,Common up,Lac,Pituitary,Unchanged
GeneUp406,Common up,Lac,Pituitary,Unchanged
GeneUp407,Common up,Lac,Pituitary,Upregulated in T1DM
GeneUp408,Common up,Lac,Pituitary,Unchanged
GeneUp409,Common up,Lac,Pituitary,Unchanged
GeneUp410,Common up,Lac,Pituitary,Unchanged
GeneUp411,Common up,Lac,Pituitary,Unchanged
GeneUp412,Common up,Lac,Pituitary,Unchanged
GeneUp413,Common up,Lac,Pituitary,Unchanged
GeneUp414,Common up,Lac,Pituitary,Unchanged
GeneUp415,Common up,Lac,Pituitary,Unchanged
GeneUp416,Common up,Lac,Pituitary,Unchanged
GeneUp417,Common up,Lac,Pituitary,Unchanged
GeneUp418,Common up,Lac,Pituitary,Unchanged
GeneUp419,Common up,Lac,Pituitary,Unchanged
GeneUp420,Common up,Lac,Pituitary,Unchanged
GeneUp421,Common up,Lac,Pituitary,Unchanged
GeneUp422,Common up,Lac,Pituitary,Unchanged
GeneUp423,Common up,Lac,Pituitary,Unchanged
GeneUp424,Common up,Lac,Pituitary,Unchanged
GeneUp425,Common up,Lac,Pituitary,Unchanged
GeneUp426,Common up,Lac,Pituitary,Unchanged
GeneUp427,Common up,Lac,Pituitary,Unchanged
GeneUp428,Common up,Lac,Pituitary,Unchanged
GeneUp429,Common up,Lac,Pituitary,Unchanged
GeneUp430,Common up,Lac,Pituitary,Unchanged
GeneUp431,Common up,Lac,Pituitary,Unchanged
GeneUp432,Common up,Lac,Pituitary,Unchanged
GeneUp433,Common up,Lac,Pituitary,Unchanged
GeneUp434,Common up,Lac,Pituitary,Unchanged
GeneUp435,Common up,Lac,Pituitary,Unchanged
GeneUp436,Common up,Lac,Pituitary,Unchanged
GeneUp437,Common up,Lac,Pituitary,Unchanged
GeneUp438,Common up,Lac,Pituitary,Unchanged
GeneUp001,Common up,Som,Pituitary,Upregulated in T1DM
GeneUp002,Common up,Som,Pituitary,Upregulated in T1DM
GeneUp003,Common up,Som,Pituitary,Unchanged
GeneUp004,Common up,Som,Pituitary,Upregulated in T1DM
GeneUp005,Common up,Som,Pituitary,Unchanged
GeneUp006,Common up,Som,Pituitary,Upregulated in T1DM
GeneUp007,Common up,Som,Pituitary,Upregulated in T1DM
GeneUp008,Common up,Som,Pituitary,Upregulated in T1DM
GeneUp009,Common up,Som,Pituitary,Upregulated in T1DM
GeneUp010,Common up,Som,Pituitary,Unchanged
GeneUp011,Common up,Som,Pituitary,Upregulated in T1DM
GeneUp012,Common up,Som,Pituitary,Upregulated in T1DM
GeneUp013,Common up,Som,Pituitary,Upregulated in T1DM
GeneUp014,Common up,Som,Pituitary,Upregulated in T1DM
GeneUp015,Common up,Som,Pituitary,Upregulated in T1DM
GeneUp016,Common up,Som,Pituitary,Upregulated in T1DM
GeneUp017,Common up,Som,Pituitary,Upregulated in T1DM
GeneUp018,Common up,Som,Pituitary,Upregulated in T1DM
GeneUp019,Common up,Som,Pituitary,Upregulated in T1DM
GeneUp020,Common up,Som,Pituitary,Upregulated in T1DM
GeneUp021,Common up,Som,Pituitary,Unchanged
GeneUp022,Common up,Som,Pituitary,Upregulated in T1DM
GeneUp023,Common up,Som,Pituitary,Upregulated in T1DM
GeneUp024,Common up,Som,Pituitary,Upregulated in T1DM
GeneUp025,Common up,Som,Pituitary,Upregulated in T1DM
GeneUp026,Common up,Som,Pituitary,Upregulated in T1DM
GeneUp027,Common up,Som,Pituitary,Upregulated in T1DM
GeneUp028,Common up,Som,Pituitary,Upregulated in T1DM
