,AP_1,AP_2,AP_3,AP_4,AP_5,AP_6,AP_7,AP_8,AP_9,AP_10,AP_11,AP_12,AP_13,AP_14,AP_15,AP_16,AP_17,AP_18,AP_19,AP_20,AP_21,AP_22,AP_23,AP_24,AP_25,AP_26,AP_27,AP_28,AP_29,AP_30,AP_31,AP_32,AP_33,AP_34,AP_35,AP_36,AP_37,AP_38,AP_39,AP_40,AP_41,AP_42,AP_43,AP_44,AP_45,AP_46,AP_47,AP_48,AP_49,AP_50,AP_51,AP_52,AP_53,AP_54,AP_55,AP_56,AP_57,AP_58,AP_59,AP_60,AP_61,AP_62,AP_63,AP_64,AP_65,AP_66,AP_67,AP_68,AP_69,AP_70,AP_71,AP_72,AP_73,AP_74,AP_75,AP_76,AP_77,AP_78,AP_79,AP_80,AP_81,AP_82,AP_83,AP_84,AP_85,AP_86,AP_87,AP_88,AP_89,AP_90,AP_91,AP_92,AP_93,AP_94,AP_95,AP_96,AP_97,AP_98,AP_99,AP_100
HOXC6,0.0000586,0.0092653,0.0011934,0.0047694,0.0055573,0.0241260,0.0111969,0.0213458,0.0034773,0.0182525,0.0201402,0.0045398,0.0145740,0.0235584,0.0049218,0.0127871,0.0143843,0.0046017,0.0178907,0.0025312,0.0167647,0.0097360,0.0156861,0.0170850,0.0009366,0.0058308,0.0241614,0.0001583,0.0008183,0.0058226,0.0003242,0.0138272,0.0253163,0.0199756,0.0168040,0.0131423,0.0083448,0.0159014,0.0215361,0.0310845,0.0191377,0.0171827,0.0277310,0.0459336,0.0493419,0.0514139,0.0676693,0.0708463,0.0869308,0.0962242,0.1242225,0.1462842,0.1877195,0.2018070,0.2446809,0.2763883,0.3039028,0.3488616,0.3721433,0.4124719,0.4464568,0.4773635,0.5165122,0.5316667,0.5548213,0.5543706,0.5715759,0.5715224,0.5597688,0.5346322,0.5270550,0.4997788,0.4649747,0.4420215,0.3973045,0.3671895,0.3155281,0.2987818,0.2512443,0.2325521,0.1995156,0.1734940,0.1351789,0.1254714,0.1069268,0.0702686,0.0669698,0.0451080,0.0430238,0.0326488,0.0404181,0.0184112,0.0128973,0.0163775,0.0253237,0.0103312,0.0201627,0.0084016,0.0170247,0.0152306
HOXC8,0.0057519,0.0058473,0.0184969,0.0217213,0.0124136,0.0011293,0.0017252,0.0193181,0.0242913,0.0116338,0.0206745,0.0017801,0.0106179,0.0152995,0.0211861,0.0066630,0.0217253,0.0098969,0.0248478,0.0190431,0.0120256,0.0224476,0.0188024,0.0127034,0.0138435,0.0237389,0.0094742,0.0008764,0.0036719,0.0195992,0.0148365,0.0204627,0.0078809,0.0254784,0.0245372,0.0138041,0.0302666,0.0158011,0.0181517,0.0233182,0.0467998,0.0408069,0.0431873,0.0639150,0.0672359,0.0894293,0.0882312,0.1229233,0.1406079,0.1622565,0.1894351,0.2067132,0.2310355,0.2637268,0.2865645,0.3344108,0.3725188,0.4091306,0.4261416,0.4690395,0.5050260,0.5311462,0.5740878,0.6084970,0.6342264,0.6419974,0.6545851,0.6654475,0.6721448,0.6898629,0.6738798,0.6802667,0.6464988,0.6509461,0.6131400,0.5861347,0.5681488,0.5271576,0.5063318,0.4652878,0.4387238,0.3900263,0.3587884,0.3314592,0.2783810,0.2680495,0.2169686,0.2037705,0.1823907,0.1407332,0.1306324,0.1011541,0.0844251,0.0942728,0.0741107,0.0593365,0.0479650,0.0342070,0.0254455,0.0360344
HOXC9,0.0095962,0.0236448,0.0200496,0.0236154,0.0189539,0.0135527,0.0046670,0.0017804,0.0045042,0.0211738,0.0138737,0.0235121,0.0224985,0.0165699,0.0073574,0.0068554,0.0199437,0.0207244,0.0131833,0.0238774,0.0022328,0.0096151,0.0026543,0.0072907,0.0031659,0.0221286,0.0063258,0.0083917,0.0201202,0.0179003,0.0302759,0.0250477,0.0126871,0.0330221,0.0355101,0.0384166,0.0339193,0.0402220,0.0560308,0.0445372,0.0737796,0.0650115,0.0816566,0.0842834,0.1168877,0.1213045,0.1512826,0.1567116,0.1802751,0.1986962,0.2388673,0.2467858,0.2738540,0.3191968,0.3375082,0.3794874,0.4160048,0.4540135,0.4768127,0.5155002,0.5631592,0.5849034,0.6203796,0.6505076,0.6899020,0.7142167,0.7435736,0.7643938,0.7860764,0.7902020,0.7949904,0.8066880,0.7903681,0.7891867,0.7853139,0.7763103,0.7572927,0.7287232,0.7291308,0.6942702,0.6511326,0.6423039,0.5973982,0.5705056,0.5258148,0.5001611,0.4513090,0.4250708,0.3766110,0.3600693,0.3303488,0.2808171,0.2565219,0.2261982,0.2143873,0.1806079,0.1724678,0.1523658,0.1369941,0.1069824
HOXC10,0.0212202,0.0214671,0.0160564,0.0236856,0.0014751,0.0070653,0.0218967,0.0173208,0.0054549,0.0124914,0.0174947,0.0126022,0.0217513,0.0101043,0.0193767,0.0167979,0.0085353,0.0104890,0.0152851,0.0025186,0.0075971,0.0190214,0.0053588,0.0118221,0.0066800,0.0144675,0.0198269,0.0306851,0.0254465,0.0286788,0.0280033,0.0312452,0.0424130,0.0325772,0.0511733,0.0536057,0.0470475,0.0716613,0.0693073,0.0864542,0.1036271,0.1138270,0.1215936,0.1276532,0.1615221,0.1732736,0.1971615,0.1980894,0.2300612,0.2569040,0.2733155,0.3121705,0.3367171,0.3629442,0.4028688,0.4430449,0.4689791,0.4982616,0.5439431,0.5657422,0.6136769,0.6494186,0.6910188,0.7196512,0.7522589,0.7662825,0.7986373,0.8207921,0.8528883,0.8796947,0.8824703,0.9081442,0.9023878,0.9275590,0.9305557,0.9243979,0.9145465,0.9144397,0.8911656,0.8786510,0.8654748,0.8362465,0.8095544,0.7843036,0.7558610,0.7367061,0.6875995,0.6567027,0.6304516,0.5829855,0.5523869,0.5302188,0.4838376,0.4430712,0.4166753,0.3881436,0.3624431,0.3109986,0.3053076,0.2567808
HOXD1,0.0084317,0.0079429,0.0220289,0.0070940,0.0081999,0.0027954,0.0049557,0.0081911,0.0186368,0.0227883,0.0009596,0.0123305,0.0228161,0.0081955,0.0039464,0.0201133,0.0169561,0.0155349,0.0099276,0.0111550,0.0006169,0.0222605,0.0116962,0.0192621,0.0222379,0.0173307,0.0208872,0.0022430,0.0156489,0.0034536,0.0098157,0.0147764,0.0014226,0.0179938,0.0238093,0.0158970,0.0232769,0.0010972,0.0066832,0.0136806,0.0119338,0.0106716,0.0058098,0.0223362,0.0049142,0.0168215,0.0059208,0.0237780,0.0174768,0.0130143,0.0161490,0.0147637,0.0223404,0.0054350,0.0128201,0.0220603,0.0238794,0.0341841,0.0545165,0.0515327,0.0767160,0.0862952,0.1372488,0.1677938,0.2123774,0.2730625,0.3367441,0.3976355,0.4726538,0.5733808,0.6487687,0.7423270,0.8155119,0.9123876,0.9540733,1.0185608,1.0456657,1.0463274,1.0190834,0.9958624,0.9472936,0.8897157,0.7968189,0.7280096,0.6302397,0.5359927,0.4658292,0.3664006,0.2971077,0.2371355,0.1950187,0.1571058,0.1220405,0.0884447,0.0549811,0.0409659,0.0297845,0.0210440,0.0212405,0.0095344
HOXD3,0.0131816,0.0244824,0.0026467,0.0073181,0.0208352,0.0126529,0.0086756,0.0105518,0.0091511,0.0202286,0.0164391,0.0103384,0.0184418,0.0090141,0.0228932,0.0148389,0.0205732,0.0115040,0.0219852,0.0071308,0.0002806,0.0160003,0.0173178,0.0062471,0.0186141,0.0194844,0.0083294,0.0045526,0.0225776,0.0098327,0.0079501,0.0223554,0.0247156,0.0092504,0.0237579,0.0059699,0.0192657,0.0143643,0.0154822,0.0030577,0.0202353,0.0093991,0.0209621,0.0149517,0.0059037,0.0147077,0.0239957,0.0229474,0.0199436,0.0295806,0.0200311,0.0160306,0.0137697,0.0273764,0.0250867,0.0575644,0.0491682,0.0759542,0.0912957,0.1026555,0.1375120,0.1624732,0.2042299,0.2427356,0.2992704,0.3522168,0.4140131,0.4751438,0.5395309,0.6088951,0.6979383,0.7575950,0.8442263,0.9100195,0.9671929,1.0280522,1.0799905,1.1157000,1.1588164,1.1518318,1.1592109,1.1500374,1.1143037,1.0876454,1.0331269,0.9829659,0.9135718,0.8406518,0.7568273,0.6911704,0.6097957,0.5421508,0.4553244,0.4139205,0.3472740,0.2997284,0.2523177,0.2050708,0.1561890,0.1295997
HOXD4,0.0205691,0.0181784,0.0228356,0.0086744,0.0202674,0.0016748,0.0079422,0.0014817,0.0125443,0.0082467,0.0016501,0.0052135,0.0191812,0.0056369,0.0072409,0.0205366,0.0182211,0.0098504,0.0201702,0.0217172,0.0091121,0.0171313,0.0133235,0.0197092,0.0190705,0.0183526,0.0114147,0.0127813,0.0186172,0.0159282,0.0167114,0.0118003,0.0097522,0.0052608,0.0200171,0.0012907,0.0010974,0.0034446,0.0104881,0.0131790,0.0223583,0.0084350,0.0248901,0.0055132,0.0084678,0.0208794,0.0266079,0.0321627,0.0272892,0.0397523,0.0432241,0.0321387,0.0618132,0.0592494,0.0694735,0.0921573,0.1125451,0.1108311,0.1402927,0.1681687,0.2131719,0.2386555,0.2754784,0.3195074,0.3657161,0.4079308,0.4799203,0.5237694,0.6022798,0.6599972,0.7413020,0.7895960,0.8533931,0.9207263,0.9957466,1.0522187,1.1068490,1.1498640,1.2050063,1.2267160,1.2728923,1.2776593,1.2915565,1.2826023,1.2697932,1.2472724,1.2111695,1.1577892,1.1262958,1.0730713,0.9979743,0.9451996,0.8884901,0.8074588,0.7433803,0.6644272,0.6101494,0.5542080,0.4806923,0.4313494
HOXD8,0.0081647,0.0154958,0.0112384,0.0156676,0.0040502,0.0080394,0.0210162,0.0087049,0.0012469,0.0240106,0.0173317,0.0135900,0.0239884,0.0034163,0.0230685,0.0032199,0.0064849,0.0234784,0.0029742,0.0009439,0.0047942,0.0051892,0.0047230,0.0207656,0.0190314,0.0051372,0.0199942,0.0028220,0.0116005,0.0064247,0.0196533,0.0012898,0.0130671,0.0082441,0.0145709,0.0101469,0.0034542,0.0060409,0.0251907,0.0061893,0.0197700,0.0029639,0.0268245,0.0158245,0.0240225,0.0179213,0.0194477,0.0303087,0.0369148,0.0288919,0.0350948,0.0349598,0.0398046,0.0476781,0.0549981,0.0637526,0.0632074,0.0713964,0.0899445,0.1027105,0.1120899,0.1175725,0.1401555,0.1495336,0.1898895,0.2072313,0.2321159,0.2475821,0.2658052,0.2941094,0.3188927,0.3500680,0.3512744,0.3924108,0.4016484,0.4416327,0.4602835,0.4684829,0.4978250,0.5257750,0.5318624,0.5323556,0.5497451,0.5670737,0.5653418,0.5691536,0.5675902,0.5514002,0.5456188,0.5382377,0.5302106,0.5172173,0.4819039,0.4707676,0.4453285,0.4130824,0.4069476,0.3790487,0.3594717,0.3356533
HOXD9,0.0246578,0.0077054,0.0100090,0.0061236,0.0188378,0.0236234,0.0036488,0.0092107,0.0059552,0.0204965,0.0103737,0.0165204,0.0048906,0.0077014,0.0185643,0.0088198,0.0016099,0.0079407,0.0181458,0.0187668,0.0151033,0.0097193,0.0218634,0.0054389,0.0103601,0.0022139,0.0231445,0.0118614,0.0075290,0.0042842,0.0154939,0.0057805,0.0217401,0.0198677,0.0169829,0.0137830,0.0085336,0.0272563,0.0044363,0.0203333,0.0279825,0.0178726,0.0161485,0.0117756,0.0147518,0.0282433,0.0316903,0.0235080,0.0485847,0.0532919,0.0553256,0.0476653,0.0619374,0.0592002,0.0725251,0.0915493,0.0958592,0.1114057,0.1216393,0.1305857,0.1640734,0.1761908,0.1919409,0.2076412,0.2370778,0.2584127,0.2628580,0.2872984,0.3106077,0.3467782,0.3608160,0.4072532,0.4181950,0.4610054,0.4815395,0.4956442,0.5313652,0.5601001,0.5829974,0.5834045,0.6061487,0.6297256,0.6555888,0.6668304,0.6685964,0.6779056,0.6846249,0.6756767,0.6934301,0.6764423,0.6731090,0.6576364,0.6494371,0.6417651,0.6138600,0.6129056,0.5854858,0.5596983,0.5547512,0.5137301
HOXD13,0.0164729,0.0037096,0.0098284,0.0211557,0.0001943,0.0042388,0.0099492,0.0009417,0.0076477,0.0168573,0.0040105,0.0239592,0.0227078,0.0073086,0.0136605,0.0229269,0.0186289,0.0020522,0.0101216,0.0186794,0.0141423,0.0158033,0.0107076,0.0227216,0.0208862,0.0224459,0.0105585,0.0232428,0.0171650,0.0168144,0.0122324,0.0200945,0.0138039,0.0147593,0.0092383,0.0116284,0.0154239,0.0170418,0.0099302,0.0226901,0.0111956,0.0108723,0.0086714,0.0097159,0.0042047,0.0037963,0.0168512,0.0057124,0.0194668,0.0164055,0.0119306,0.0188263,0.0152609,0.0201577,0.0035386,0.0096010,0.0133183,0.0166570,0.0057887,0.0072906,0.0078105,0.0020770,0.0220137,0.0089635,0.0190512,0.0215783,0.0157987,0.0108143,0.0191936,0.0187337,0.0356762,0.0358119,0.0353421,0.0530768,0.0716222,0.1001837,0.1129399,0.1484703,0.2107202,0.2555695,0.3048811,0.3618411,0.4300970,0.4932874,0.5651412,0.6349974,0.6855770,0.7229782,0.7778093,0.8024182,0.8041017,0.7952743,0.7741143,0.7395300,0.6967567,0.6326630,0.5703114,0.4883615,0.4264420,0.3584588
