cell,UMAP_1,UMAP_2,celltype,group
l1886,-3.8057,2.4406,Neutrophil,Control
l1887,-4.1,3.9853,Neutrophil,Treat
l1888,-5.0064,3.8539,Neutrophil,Control
l1889,-5.2289,3.2125,Neutrophil,Control
l1890,-5.3584,1.5503,Neutrophil,Treat
l1891,-3.9241,4.0602,Neutrophil,Control
l1892,-4.3323,2.9517,Neutrophil,Control
l1893,-4.1815,3.0873,Neutrophil,Treat
l1894,-6.5631,4.446,Neutrophil,Control
l1895,-4.5712,3.5838,Neutrophil,Control
l1896,-2.8768,3.9915,Neutrophil,Treat
l1897,-2.7433,5.4942,Neutrophil,Control
l1898,-5.7852,4.3661,Neutrophil,Control
l1899,-4.6915,3.2671,Neutrophil,Treat
l1900,-4.4893,4.1245,Neutrophil,Control
l1901,-2.9996,4.4427,Neutrophil,Control
l1902,-4.509,3.8438,Neutrophil,Treat
l1903,-4.2734,2.7896,Neutrophil,Control
l1904,-6.7422,2.4357,Neutrophil,Control
l1905,-5.3227,3.8169,Neutrophil,Treat
l1906,-4.8872,3.2045,Neutrophil,Control
l1907,-4.1477,5.4777,Neutrophil,Control
l1908,-4.6922,2.6,Neutrophil,Treat
l1909,-5.1852,3.6441,Neutrophil,Control
l1910,-6.2411,4.4177,Neutrophil,Control
l1911,-6.0859,4.6418,Neutrophil,Treat
l1912,-2.883,3.6149,Neutrophil,Control
l1913,-5.4448,5.3242,Neutrophil,Control
l1914,-3.4684,3.8396,Neutrophil,Treat
l1915,-4.6135,4.3694,Neutrophil,Control
l1916,-4.3792,3.7015,Neutrophil,Control
l1917,-4.3783,4.2935,Neutrophil,Treat
l1918,-5.0453,2.9615,Neutrophil,Control
l1919,-3.4824,4.0763,Neutrophil,Control
l1920,-3.8629,4.316,Neutrophil,Treat
l1921,-3.9439,3.8866,Neutrophil,Control
l1922,-4.5326,3.8452,Neutrophil,Control
l1923,-6.3584,2.4769,Neutrophil,Treat
l1924,-4.643,2.9084,Neutrophil,Control
l1925,-5.7957,4.7682,Neutrophil,Control
l1926,-5.9299,4.6385,Neutrophil,Treat
l1927,-3.7424,2.7842,Neutrophil,Control
l1928,-5.0039,5.8208,Neutrophil,Control
l1929,-5.6101,5.024,Neutrophil,Treat
l1930,-6.0548,3.4237,Neutrophil,Control
l1931,-4.2004,2.7019,Neutrophil,Control
l1932,-3.5809,3.1681,Neutrophil,Treat
l1933,-4.8178,3.8801,Neutrophil,Control
l1934,-3.8714,2.7264,Neutrophil,Control
l1935,-5.592,3.694,Neutrophil,Treat
l1936,-5.2159,2.8582,Neutrophil,Control
l1937,-4.6906,4.3741,Neutrophil,Control
l1938,-2.4155,3.628,Neutrophil,Treat
l1939,-4.2696,3.0738,Neutrophil,Control
l1940,-4.6974,3.3381,Neutrophil,Control
l1941,-5.613,3.7115,Neutrophil,Treat
l1942,-3.0157,3.4193,Neutrophil,Control
l1943,-5.0765,2.5336,Neutrophil,Control
l1944,-2.4351,4.7869,Neutrophil,Treat
l1945,-4.1773,4.3031,Neutrophil,Control
l1946,-3.0594,4.0843,Neutrophil,Control
l1947,-3.2173,4.2257,Neutrophil,Treat
l1948,-5.3934,3.6659,Neutrophil,Control
l1949,-5.177,4.2736,Neutrophil,Control
l1950,-4.705,1.773,Neutrophil,Treat
l1951,-4.5459,5.5789,Neutrophil,Control
l1952,-4.6483,2.7138,Neutrophil,Control
l1953,-4.3455,2.5545,Neutrophil,Treat
l1954,-4.5244,3.7828,Neutrophil,Control
l1955,-4.3297,3.6964,Neutrophil,Control
l1956,-5.6705,3.4973,Neutrophil,Treat
l1957,-4.7848,4.737,Neutrophil,Control
l1958,-5.4682,4.1671,Neutrophil,Control
l1959,-4.7017,4.022,Neutrophil,Treat
l1960,-4.2717,2.3109,Neutrophil,Control
l1961,-5.1348,4.9451,Neutrophil,Control
l1962,-4.4541,2.9208,Neutrophil,Treat
l1963,-4.0759,2.9432,Neutrophil,Control
l1964,-5.0912,3.0421,Neutrophil,Control
l1965,-5.8578,3.3093,Neutrophil,Treat
l1966,-4.2144,3.9558,Neutrophil,Control
l1967,-3.0004,4.8561,Neutrophil,Control
l1968,-5.3314,1.9289,Neutrophil,Treat
l1969,-3.8989,4.6325,Neutrophil,Control
l1970,-4.6032,4.6293,Neutrophil,Control
l1971,-4.785,3.1391,Neutrophil,Treat
l1972,-4.0455,3.5592,Neutrophil,Control
l1973,-4.7002,3.2352,Neutrophil,Control
l1974,-5.2493,4.2486,Neutrophil,Treat
l1975,-4.0346,3.2569,Neutrophil,Control
l1976,-4.5575,4.5313,Neutrophil,Control
l1977,-4.599,3.8258,Neutrophil,Treat
l1978,-5.4304,5.1643,Neutrophil,Control
l1979,-3.6794,5.6401,Neutrophil,Control
l1980,-4.7559,3.0761,Neutrophil,Treat
l1981,-3.97,4.2632,Neutrophil,Control
l1982,-3.7741,4.6528,Neutrophil,Control
l1983,-3.6552,3.327,Neutrophil,Treat
l1984,-3.4595,2.8523,Neutrophil,Control
l1985,-4.5339,4.4245,Neutrophil,Control
l1986,-3.6504,5.1495,Neutrophil,Treat
l1987,-4.2372,2.8184,Neutrophil,Control
l1988,-5.0634,4.3331,Neutrophil,Control
l1989,-4.3354,3.8354,Neutrophil,Treat
l1990,-3.733,3.6684,Neutrophil,Control
l1991,-5.3257,3.418,Neutrophil,Control
l1992,-3.9738,3.699,Neutrophil,Treat
l1993,-3.0291,4.4266,Neutrophil,Control
l1994,-5.3781,3.5867,Neutrophil,Control
l1995,-4.9798,3.0818,Neutrophil,Treat
l1996,-4.4986,3.0723,Neutrophil,Control
l1997,-3.888,3.5476,Neutrophil,Control
l1998,-4.6421,3.4193,Neutrophil,Treat
l1999,-4.5772,3.6817,Neutrophil,Control
l2000,-3.813,4.0665,Neutrophil,Control
l2001,-4.1718,2.8975,Neutrophil,Treat
l2002,-3.8044,4.1706,Neutrophil,Control
l2003,-3.3096,4.0017,Neutrophil,Control
l2004,-4.5886,2.1012,Neutrophil,Treat
l2005,-3.786,3.2783,Neutrophil,Control
l2006,-5.0696,4.1472,Neutrophil,Control
l2007,-4.6597,4.5832,Neutrophil,Treat
l2008,-3.9025,4.6423,Neutrophil,Control
l2009,-3.7722,3.9812,Neutrophil,Control
l2010,-3.1328,3.7559,Neutrophil,Treat
l2011,-3.6525,4.5099,Neutrophil,Control
l2012,-3.9409,1.4979,Neutrophil,Control
l2013,-3.9964,2.8439,Neutrophil,Treat
l2014,-6.323,3.2728,Neutrophil,Control
l2015,-4.4567,4.8215,Neutrophil,Control
l2016,-4.7415,3.4949,Neutrophil,Treat
l2017,-4.1704,2.4496,Neutrophil,Control
l2018,-4.6683,3.3762,Neutrophil,Control
l2019,-3.9027,3.6769,Neutrophil,Treat
l2020,-2.7273,5.3762,Neutrophil,Control
l2021,-4.5978,4.0121,Neutrophil,Control
l2022,-3.4297,4.1079,Neutrophil,Treat
l2023,-3.7719,4.5401,Neutrophil,Control
l2024,-4.223,2.9912,Neutrophil,Control
l2025,-6.1214,3.6343,Neutrophil,Treat
l2026,-3.5649,3.4968,Neutrophil,Control
l2027,-5.2654,3.4975,Neutrophil,Control
l2028,-5.1909,4.0192,Neutrophil,Treat
l2029,-5.2795,3.2988,Neutrophil,Control
l2030,-6.3656,3.8973,Neutrophil,Control
l2031,-3.5082,2.8002,Neutrophil,Treat
l2032,-4.7306,3.5068,Neutrophil,Control
l2033,-4.9954,3.7311,Neutrophil,Control
l2034,-4.0639,3.3198,Neutrophil,Treat
l2035,-3.8373,3.5707,Neutrophil,Control
l2036,-6.3547,2.6795,Neutrophil,Control
l2037,-2.9346,3.9937,Neutrophil,Treat
l2038,-4.1221,3.7279,Neutrophil,Control
l2039,-4.54,4.0556,Neutrophil,Control
l2040,-6.1748,3.9629,Neutrophil,Treat
l2041,-2.914,4.5934,Neutrophil,Control
l2042,-4.6285,4.2811,Neutrophil,Control
l2043,-5.7162,4.6092,Neutrophil,Treat
l2044,-5.6221,3.9549,Neutrophil,Control
l2045,-3.0147,3.7157,Neutrophil,Control
l2046,-3.4343,3.1357,Neutrophil,Treat
l2047,-4.7694,3.2782,Neutrophil,Control
l2048,-4.4789,4.2604,Neutrophil,Control
l2049,-2.967,5.195,Neutrophil,Treat
l2050,-3.7993,3.4063,Neutrophil,Control
l2051,-4.0773,2.242,Neutrophil,Control
l2052,-3.7437,3.0139,Neutrophil,Treat
l2053,-4.9783,4.1733,Neutrophil,Control
l2054,-3.7929,3.5976,Neutrophil,Control
l2055,-4.8364,3.5649,Neutrophil,Treat
l2056,-3.5067,4.5364,Neutrophil,Control
l2057,-4.2369,3.7724,Neutrophil,Control
l2058,-5.5578,4.3595,Neutrophil,Treat
l2059,-4.944,3.3039,Neutrophil,Control
l2060,-4.4472,4.1611,Neutrophil,Control
l2061,-4.1666,4.339,Neutrophil,Treat
l2062,-3.987,6.2272,Neutrophil,Control
l2063,-4.4159,3.8075,Neutrophil,Control
l2064,-5.3367,3.2981,Neutrophil,Treat
l2065,-4.9753,3.4268,Neutrophil,Control
l2066,-4.2369,3.0111,Neutrophil,Control
l2067,-4.8812,3.8304,Neutrophil,Treat
l2068,-4.5806,2.5424,Neutrophil,Control
l2069,-6.3002,3.5133,Neutrophil,Control
l2070,-4.7461,3.5165,Neutrophil,Treat
l2071,-5.139,3.7648,Neutrophil,Control
l2072,-4.2995,3.4299,Neutrophil,Control
l2073,-4.1715,4.4221,Neutrophil,Treat
l2074,-4.6387,2.8724,Neutrophil,Control
l2075,-3.2139,4.7615,Neutrophil,Control
l2076,-4.174,4.0929,Neutrophil,Treat
l2077,-5.3014,3.9575,Neutrophil,Control
l2078,-3.9004,4.0917,Neutrophil,Control
l2079,-3.3091,3.7078,Neutrophil,Treat
l2080,-4.4041,2.8835,Neutrophil,Control
l2081,-5.2697,3.2544,Neutrophil,Control
l2082,-4.4193,4.2731,Neutrophil,Treat
l2083,-4.359,2.8487,Neutrophil,Control
l2084,-3.9074,2.4203,Neutrophil,Control
l2085,-3.2161,3.6928,Neutrophil,Treat
l2086,-3.0544,3.3267,Neutrophil,Control
l2087,-4.4988,2.7387,Neutrophil,Control
l2088,-4.1072,3.8138,Neutrophil,Treat
l2089,-3.9,3.3825,Neutrophil,Control
l2090,-3.8268,2.918,Neutrophil,Control
l2091,-4.4235,3.1021,Neutrophil,Treat
l2092,-4.8705,5.7903,Neutrophil,Control
l2093,-3.6769,3.0379,Neutrophil,Control
l2094,-2.7244,4.6168,Neutrophil,Treat
l2095,-3.9185,3.7093,Neutrophil,Control
l2096,-4.6462,4.6472,Neutrophil,Control
l2097,-4.4456,3.0198,Neutrophil,Treat
l2098,-3.6443,3.3801,Neutrophil,Control
l2099,-4.0784,4.8676,Neutrophil,Control
l2100,-4.1545,3.0129,Neutrophil,Treat
l2101,-4.4289,3.6252,Neutrophil,Control
l2102,-3.5003,3.444,Neutrophil,Control
l2103,-2.671,2.7819,Neutrophil,Treat
l2104,-4.9569,3.5748,Neutrophil,Control
l2105,-3.4383,4.3049,Neutrophil,Control
l2106,-3.9634,2.573,Neutrophil,Treat
l2107,-5.7909,1.9078,Neutrophil,Control
l2108,-5.1589,3.2207,Neutrophil,Control
l2109,-5.8361,3.0056,Neutrophil,Treat
l2110,-4.5691,2.902,Neutrophil,Control
l2111,-4.4621,4.1231,Neutrophil,Control
l2112,-4.423,5.1261,Neutrophil,Treat
l2113,-5.4836,2.3896,Neutrophil,Control
l2114,-5.0493,3.1474,Neutrophil,Control
l2115,-5.2234,4.6559,Neutrophil,Treat
l2116,-4.5973,4.9503,Neutrophil,Control
l2117,-4.9837,4.7347,Neutrophil,Control
l2118,-4.8725,2.6989,Neutrophil,Treat
l2119,-3.9411,3.3896,Neutrophil,Control
l2120,-4.0804,3.3686,Neutrophil,Control
l2121,-4.2116,4.5125,Neutrophil,Treat
l2122,-3.2156,2.9703,Neutrophil,Control
l2123,-5.3009,3.8805,Neutrophil,Control
l2124,-5.219,4.2406,Neutrophil,Treat
l2125,-5.1354,5.2711,Neutrophil,Control
l2126,-5.3477,2.8627,Neutrophil,Control
l2127,-3.0783,4.2292,Neutrophil,Treat
l2128,-4.0029,3.2373,Neutrophil,Control
l2129,-4.1478,3.1968,Neutrophil,Control
l2130,-4.4891,2.5527,Neutrophil,Treat
l2131,-3.8756,5.0655,Neutrophil,Control
l2132,-5.1794,3.6697,Neutrophil,Control
l2133,-4.3594,4.5251,Neutrophil,Treat
l2134,-3.8707,4.1108,Neutrophil,Control
l2135,-7.0083,1.892,Neutrophil,Control
l2136,-4.8197,3.426,Neutrophil,Treat
l2137,-5.0139,3.5176,Neutrophil,Control
l2138,-3.59,3.6299,Neutrophil,Control
l2139,-5.6533,2.5904,Neutrophil,Treat
l2140,-5.1071,3.3535,Neutrophil,Control
l2141,-5.1164,3.1927,Neutrophil,Control
l2142,-5.2853,3.7007,Neutrophil,Treat
l2143,-4.3669,3.0072,Neutrophil,Control
l2144,-5.6324,2.0585,Neutrophil,Control
l2145,-4.4704,4.6307,Neutrophil,Treat
l2146,-2.7141,3.4885,Neutrophil,Control
l2147,-2.8637,4.9055,Neutrophil,Control
l2148,-4.5914,3.3611,Neutrophil,Treat
l2149,-5.2499,3.9572,Neutrophil,Control
l2150,-3.9199,3.3415,Neutrophil,Control
l2151,-3.3893,3.8801,Neutrophil,Treat
l2152,-5.3627,2.6832,Neutrophil,Control
l2153,-4.4183,3.4866,Neutrophil,Control
l2154,-3.5606,4.2146,Neutrophil,Treat
l2155,-4.8232,4.1317,Neutrophil,Control
l2156,-4.3042,3.4518,Neutrophil,Control
l2157,-3.0122,4.0615,Neutrophil,Treat
l2158,-5.2639,4.9286,Neutrophil,Control
l2159,-5.3803,4.719,Neutrophil,Control
l2160,-3.209,1.9352,Neutrophil,Treat
l2161,-4.4409,4.2946,Neutrophil,Control
l2162,-4.9128,4.7642,Neutrophil,Control
l2163,-2.6174,4.156,Neutrophil,Treat
l2164,-5.0597,2.9074,Neutrophil,Control
l2165,-6.5439,4.6826,Neutrophil,Control
l2166,-4.3054,3.2753,Neutrophil,Treat
l2167,-4.6397,4.2194,Neutrophil,Control
l2168,-4.1279,4.1232,Neutrophil,Control
l2169,-4.2455,3.6508,Neutrophil,Treat
l2170,-5.4775,3.2096,Neutrophil,Control
l2171,-5.5249,3.4707,Neutrophil,Control
l2172,-3.367,2.9932,Neutrophil,Treat
l2173,-4.5724,3.8071,Neutrophil,Control
l2174,-3.5718,4.5381,Neutrophil,Control
l2175,-3.9431,4.471,Neutrophil,Treat
l2176,-4.6122,4.3589,Neutrophil,Control
l2177,-5.7382,3.5696,Neutrophil,Control
l2178,-5.4807,3.2698,Neutrophil,Treat
l2179,-3.8387,4.277,Neutrophil,Control
l2180,-3.5787,4.1997,Neutrophil,Control
l2181,-4.5661,3.1431,Neutrophil,Treat
l2182,-3.199,3.3389,Neutrophil,Control
l2183,-6.4511,3.9432,Neutrophil,Control
l2184,-5.1991,3.2683,Neutrophil,Treat
l2185,-2.9364,4.5658,Neutrophil,Control
l2186,-4.6347,4.8424,Neutrophil,Control
l2187,-5.0776,4.2391,Neutrophil,Treat
l2188,-3.5399,4.2258,Neutrophil,Control
l2189,-6.2077,2.4591,Neutrophil,Control
l2190,-3.4814,3.0899,Neutrophil,Treat
l2191,-3.3969,2.6834,Neutrophil,Control
l2192,-5.3243,3.6253,Neutrophil,Control
l2193,-4.3967,5.0936,Neutrophil,Treat
l2194,-5.0705,4.0163,Neutrophil,Control
l2195,-6.2277,3.9011,Neutrophil,Control
l2196,-6.2076,4.4487,Neutrophil,Treat
l2197,-4.1668,5.2111,Neutrophil,Control
l2198,-4.804,4.094,Neutrophil,Control
l2199,-2.9758,4.0754,Neutrophil,Treat
l2200,-4.9954,4.2631,Neutrophil,Control
l2201,-6.0079,4.5759,Neutrophil,Control
l2202,-2.1482,2.4577,Neutrophil,Treat
l2203,-5.8139,4.3426,Neutrophil,Control
l2204,-3.4341,3.221,Neutrophil,Control
l2205,-3.8244,3.3878,Neutrophil,Treat
l2206,-5.1128,5.1387,Neutrophil,Control
l2207,-4.0571,4.2928,Neutrophil,Control
l2208,-2.8685,3.5437,Neutrophil,Treat
l2209,-3.8151,4.1674,Neutrophil,Control
l2210,-4.2846,2.9169,Neutrophil,Control
l2211,-4.3096,2.5495,Neutrophil,Treat
l2212,-4.9463,4.5288,Neutrophil,Control
l2213,-3.467,4.8669,Neutrophil,Control
l2214,-3.8716,3.7634,Neutrophil,Treat
l2215,-5.7349,3.1456,Neutrophil,Control
l2216,-5.7523,2.9685,Neutrophil,Control
l2217,-4.1493,2.5192,Neutrophil,Treat
l2218,-3.2415,4.009,Neutrophil,Control
l2219,-5.8625,4.445,Neutrophil,Control
l2220,-4.8642,4.0125,Neutrophil,Treat
l2221,-3.1297,2.5346,Neutrophil,Control
l2222,-2.7027,3.4599,Neutrophil,Control
l2223,-3.0779,3.1536,Neutrophil,Treat
l2224,-2.8482,4.1856,Neutrophil,Control
l2225,-5.1874,3.1029,Neutrophil,Control
l2226,-5.1072,4.2575,Neutrophil,Treat
l2227,-3.6185,4.018,Neutrophil,Control
l2228,-5.2304,3.5437,Neutrophil,Control
l2229,-5.3878,3.2012,Neutrophil,Treat
l2230,-4.1591,2.3493,Neutrophil,Control
l2231,-5.3177,3.3851,Neutrophil,Control
l2232,-3.0506,2.3032,Neutrophil,Treat
l2233,-4.6888,2.6989,Neutrophil,Control
l2234,-4.2179,3.3396,Neutrophil,Control
l2235,-4.3247,4.7439,Neutrophil,Treat
l2236,-4.3886,3.3754,Neutrophil,Control
l2237,-3.0723,3.2433,Neutrophil,Control
l2238,-4.6047,3.6873,Neutrophil,Treat
l2239,-3.577,5.2384,Neutrophil,Control
l2240,-4.7849,3.2946,Neutrophil,Control
l2241,-3.2306,4.5419,Neutrophil,Treat
l2242,-4.8567,2.8309,Neutrophil,Control
l2243,-3.1779,4.5115,Neutrophil,Control
l2244,-3.182,2.3931,Neutrophil,Treat
l2245,-3.8923,3.1441,Neutrophil,Control
l2246,-2.5032,4.3084,Neutrophil,Control
l2247,-4.5731,2.5977,Neutrophil,Treat
l2248,-3.927,2.9587,Neutrophil,Control
l2249,-3.8393,2.783,Neutrophil,Control
l2250,-4.0256,1.8166,Neutrophil,Treat
l2251,-3.747,3.0811,Neutrophil,Control
l2252,-6.2743,4.6237,Neutrophil,Control
l2253,-4.1851,4.3527,Neutrophil,Treat
l2254,-5.3476,4.9539,Neutrophil,Control
l2255,-4.1737,4.9319,Neutrophil,Control
l2256,-4.9302,5.4187,Neutrophil,Treat
l2257,-2.8808,3.04,Neutrophil,Control
l2258,-3.1909,5.3256,Neutrophil,Control
l2259,-4.6481,2.9392,Neutrophil,Treat
l2260,-5.1076,4.4201,Neutrophil,Control
l2261,-5.6091,3.7117,Neutrophil,Control
l2262,-3.6491,3.3607,Neutrophil,Treat
l2263,-2.4314,4.7352,Neutrophil,Control
l2264,-3.3724,3.9007,Neutrophil,Control
l2265,-4.34,4.2861,Neutrophil,Treat
l2266,-5.5753,4.4866,Neutrophil,Control
l2267,-4.3926,4.39,Neutrophil,Control
l2268,-5.0105,3.6798,Neutrophil,Treat
l2269,-3.8785,3.682,Neutrophil,Control
l2270,-4.3167,3.2238,Neutrophil,Control
l2271,-3.5267,3.6131,Neutrophil,Treat
l2272,-2.3622,3.3382,Neutrophil,Control
l2273,-5.1099,3.5874,Neutrophil,Control
l2274,-5.2873,3.1752,Neutrophil,Treat
l2275,-3.8314,4.5588,Neutrophil,Control
l2276,-4.7322,4.3237,Neutrophil,Control
l2277,-3.3677,4.3556,Neutrophil,Treat
l2278,-3.8396,4.7303,Neutrophil,Control
l2279,-6.0684,4.3281,Neutrophil,Control
l2280,-4.7793,5.0252,Neutrophil,Treat
l2281,-4.2642,2.835,Neutrophil,Control
l2282,-2.8439,2.8263,Neutrophil,Control
l2283,-3.9627,4.322,Neutrophil,Treat
l2284,-5.4165,2.1714,Neutrophil,Control
l2285,-6.2503,3.8658,Neutrophil,Control
l2286,-5.042,4.6016,Neutrophil,Treat
l2287,-4.8698,3.235,Neutrophil,Control
l2288,-3.4169,2.3767,Neutrophil,Control
l2289,-4.0086,4.3775,Neutrophil,Treat
l2290,-4.0501,2.4625,Neutrophil,Control
l2291,-4.5433,3.9525,Neutrophil,Control
l2292,-4.4594,2.6418,Neutrophil,Treat
l2293,-4.5164,4.2417,Neutrophil,Control
l2294,-4.8646,3.5848,Neutrophil,Control
l2295,-4.53,3.2157,Neutrophil,Treat
l2296,-4.1778,3.904,Neutrophil,Control
l2297,-5.8941,3.4704,Neutrophil,Control
l2298,-4.1093,3.6462,Neutrophil,Treat
l2299,-5.1301,3.3628,Neutrophil,Control
l2300,-3.2211,2.4863,Neutrophil,Control
l2301,-6.0618,3.8692,Neutrophil,Treat
l2302,-4.6325,2.3247,Neutrophil,Control
l2303,-2.659,3.1146,Neutrophil,Control
l2304,-4.315,4.2494,Neutrophil,Treat
l2305,-3.6794,4.2122,Neutrophil,Control
l2306,-4.2562,2.0631,Neutrophil,Control
l2307,-5.1855,3.688,Neutrophil,Treat
l2308,-5.2965,2.9472,Neutrophil,Control
l2309,-3.8926,3.7133,Neutrophil,Control
l2310,-3.7832,3.7427,Neutrophil,Treat
l2311,-4.6429,3.7448,Neutrophil,Control
l2312,-4.2079,3.4498,Neutrophil,Control
l2313,-4.676,3.2798,Neutrophil,Treat
l2314,-4.6306,2.7701,Neutrophil,Control
l2315,-4.6741,4.2853,Neutrophil,Control
l2316,-3.2063,3.5912,Neutrophil,Treat
l2317,-4.7286,3.0353,Neutrophil,Control
l2318,-4.3505,3.7639,Neutrophil,Control
l2319,-5.82,4.7499,Neutrophil,Treat
l2320,-3.8394,2.9522,Neutrophil,Control
l2321,-4.8845,4.2548,Neutrophil,Control
l2322,-3.7126,3.5114,Neutrophil,Treat
l2323,-4.9236,6.2188,Neutrophil,Control
l2324,-3.9401,1.8765,Neutrophil,Control
l2325,-4.6496,4.4427,Neutrophil,Treat
l2326,-4.768,4.0225,Neutrophil,Control
l2327,-4.6004,4.4365,Neutrophil,Control
l2328,-4.4596,4.0523,Neutrophil,Treat
l2329,-5.0261,3.65,Neutrophil,Control
l2330,-4.248,4.3285,Neutrophil,Control
l2331,-4.5719,2.7638,Neutrophil,Treat
l2332,-5.0746,3.6333,Neutrophil,Control
l2333,-4.9104,2.5678,Neutrophil,Control
l2334,-4.2757,6.1748,Neutrophil,Treat
l2335,-3.9983,3.5359,Neutrophil,Control
l2336,-3.0415,5.1185,Neutrophil,Control
l2337,-3.3321,3.474,Neutrophil,Treat
l2338,-5.1946,3.6193,Neutrophil,Control
l2339,-5.0165,2.1402,Neutrophil,Control
l2340,-4.7725,4.7532,Neutrophil,Treat
l2341,-5.0289,4.5562,Neutrophil,Control
l2342,-4.4514,3.4275,Neutrophil,Control
l2343,-3.7759,4.4682,Neutrophil,Treat
l2344,-4.2927,3.1443,Neutrophil,Control
l2345,-3.9847,3.983,Neutrophil,Control
l2346,-5.5449,3.4265,Neutrophil,Treat
l2347,-2.9797,3.5835,Neutrophil,Control
l2348,-4.6131,4.9431,Neutrophil,Control
l2349,-6.2569,3.4607,Neutrophil,Treat
l2350,-4.2136,3.2813,Neutrophil,Control
l2351,-3.5976,4.4823,Neutrophil,Control
l2352,-6.6692,4.3509,Neutrophil,Treat
l2353,-5.8403,3.8772,Neutrophil,Control
l2354,-4.2182,3.2694,Neutrophil,Control
l2355,-5.3485,2.9421,Neutrophil,Treat
l2356,-4.3204,2.7694,Neutrophil,Control
l2357,-5.2808,2.0883,Neutrophil,Control
l2358,-4.1493,5.7582,Neutrophil,Treat
l2359,-4.214,4.9648,Neutrophil,Control
l2360,-2.7897,3.6334,Neutrophil,Control
l2361,-3.9083,4.4625,Neutrophil,Treat
l2362,-5.029,2.7951,Neutrophil,Control
l2363,-5.5036,3.2077,Neutrophil,Control
l2364,-3.4679,3.0202,Neutrophil,Treat
l2365,-4.5584,5.3041,Neutrophil,Control
l2366,-4.8036,3.906,Neutrophil,Control
l2367,-4.1301,4.6714,Neutrophil,Treat
l2368,-3.402,5.0965,Neutrophil,Control
l2369,-4.787,3.8541,Neutrophil,Control
l2370,-4.8853,2.335,Neutrophil,Treat
l2371,-5.5711,2.0504,Neutrophil,Control
l2372,-4.2122,3.9255,Neutrophil,Control
l2373,-3.8929,5.1034,Neutrophil,Treat
l2374,-4.5651,2.7757,Neutrophil,Control
l2375,-4.1075,4.3027,Neutrophil,Control
l2376,-4.4688,4.3161,Neutrophil,Treat
l2377,-4.1627,4.8283,Neutrophil,Control
l2378,-3.5576,3.8121,Neutrophil,Control
l2379,-3.8726,6.6614,Neutrophil,Treat
l2380,-4.5956,2.5785,Neutrophil,Control
l2381,-4.9602,5.3292,Neutrophil,Control
l2382,-4.4944,5.0444,Neutrophil,Treat
l2383,-3.1683,3.6611,Neutrophil,Control
l2384,-4.6321,3.8814,Neutrophil,Control
l2385,-5.1532,4.3023,Neutrophil,Treat
l2386,-3.8771,4.1262,Neutrophil,Control
l2387,-4.2248,3.8303,Neutrophil,Control
l2388,-4.1352,3.806,Neutrophil,Treat
l2389,-4.9257,3.9335,Neutrophil,Control
l2390,-4.8795,3.3881,Neutrophil,Control
l2391,-4.124,4.0406,Neutrophil,Treat
l2392,-4.4287,4.0477,Neutrophil,Control
l2393,-3.04,2.9851,Neutrophil,Control
l2394,-5.9416,4.0427,Neutrophil,Treat
l2395,-3.5744,4.5685,Neutrophil,Control
l2396,-5.8713,3.6161,Neutrophil,Control
l2397,-4.4959,3.6084,Neutrophil,Treat
l2398,-5.1703,3.6715,Neutrophil,Control
l2399,-4.3403,3.134,Neutrophil,Control
l2400,-3.3755,4.0236,Neutrophil,Treat
l2401,-4.6065,4.5566,Neutrophil,Control
l2402,-3.1586,3.1788,Neutrophil,Control
l2403,-4.6588,2.4719,Neutrophil,Treat
l2404,-4.6566,4.9303,Neutrophil,Control
l2405,-6.2727,1.9853,Neutrophil,Control
l2406,-4.2933,4.0743,Neutrophil,Treat
l2407,-4.3292,5.1715,Neutrophil,Control
l2408,-3.73,4.015,Neutrophil,Control
l2409,-5.0411,3.4391,Neutrophil,Treat
l2410,-4.3219,4.065,Neutrophil,Control
l2411,-4.6452,3.1933,Neutrophil,Control
l2412,-4.9278,3.7322,Neutrophil,Treat
l2413,-3.954,4.4083,Neutrophil,Control
l2414,-3.8386,3.0869,Neutrophil,Control
l2415,-2.7364,4.1954,Neutrophil,Treat
l2416,-3.2248,3.9738,Neutrophil,Control
l2417,-5.5258,4.5084,Neutrophil,Control
l2418,-6.3218,4.4643,Neutrophil,Treat
l2419,-5.0097,4.2962,Neutrophil,Control
l2420,-4.0112,3.137,Neutrophil,Control
l2421,-5.5855,4.3601,Neutrophil,Treat
l2422,-3.561,4.9265,Neutrophil,Control
l2423,-5.6444,3.6235,Neutrophil,Control
l2424,-3.5227,3.5661,Neutrophil,Treat
l2425,-5.2031,4.3881,Neutrophil,Control
l2426,-4.3792,5.5312,Neutrophil,Control
l2427,-3.1186,5.725,Neutrophil,Treat
l2428,-4.3103,5.6382,Neutrophil,Control
l2429,-4.3439,3.6352,Neutrophil,Control
l2430,-4.627,2.7773,Neutrophil,Treat
l2431,-4.7467,5.125,Neutrophil,Control
l2432,-5.9254,4.3757,Neutrophil,Control
l2433,-4.5049,3.345,Neutrophil,Treat
l2434,-3.0106,3.8436,Neutrophil,Control
l2435,-3.2759,2.7823,Neutrophil,Control
l2436,-4.4679,6.0638,Neutrophil,Treat
l2437,-2.1639,3.5422,Neutrophil,Control
l2438,-5.3315,4.4772,Neutrophil,Control
l2439,-3.6405,4.0167,Neutrophil,Treat
l2440,-4.9454,3.8872,Neutrophil,Control
l2441,-4.2967,4.4278,Neutrophil,Control
