"gene","avg_log2FC","pct.1","pct.2","pct_diff","p_val","p_val_adj","sig","size_value","source","nudge_x","nudge_y"
"bg308",2.53045604196429,0.462124799450777,0.237875200549223,0.224249598901554,0.334737101244275,1,"NS",0.224249598901554,"background",NA,NA
"bg309",3.80700979391596,0.387555722225778,0.312444277774222,0.0751114444515556,0.792126481313258,1,"NS",0.0751114444515556,"background",NA,NA
"bg310",-0.979523898326321,0.246043308304662,0.453956691695337,-0.207913383390675,0.596356080777012,1,"NS",0.207913383390675,"background",NA,NA
"bg311",4.76300058614631,0.574785338511981,0.125214661488019,0.449570677023961,0.784076954329386,1,"NS",0.449570677023961,"background",NA,NA
"bg312",5.83742478276229,0.552264832391541,0.147735167608459,0.404529664783082,0.238843592650257,1,"NS",0.404529664783082,"background",NA,NA
"bg313",0.374350950723295,0.439981684475083,0.260018315524917,0.179963368950166,0.362814202195965,1,"NS",0.179963368950166,"background",NA,NA
"bg314",-1.80735053595996,0.172165220209842,0.527834779790158,-0.355669559580317,0.595791132502956,1,"NS",0.355669559580317,"background",NA,NA
"bg315",-1.81591794052552,0.23061273220207,0.46938726779793,-0.23877453559586,0.748273208752042,1,"NS",0.23877453559586,"background",NA,NA
"bg316",6.80863789761971,0.579712758634802,0.120287241365198,0.459425517269603,0.747030397854745,1,"NS",0.459425517269603,"background",NA,NA
"bg317",-0.215027352277147,0.36614964806097,0.333850351939029,0.032299296121941,0.104243517750409,0.833948142003268,"NS",0.032299296121941,"background",NA,NA
"bg318",2.87324543683089,0.462487772154974,0.237512227845026,0.224975544309947,0.388582543349592,1,"NS",0.224975544309947,"background",NA,NA
"bg319",1.7693243596063,0.435922791237764,0.264077208762236,0.171845582475528,0.694996843521949,1,"NS",0.171845582475528,"background",NA,NA
"bg320",-4.87924664399754,0.143931201980258,0.556068798019742,-0.412137596039484,0.193285448717186,1,"NS",0.412137596039484,"background",NA,NA
"bg321",4.67836131957993,0.626045924334565,0.0739540756654354,0.552091848669129,0.150238827212015,1,"NS",0.552091848669129,"background",NA,NA
"bg322",-0.440050813954761,0.2708898392745,0.4291101607255,-0.158220321451,0.478315507238731,1,"NS",0.158220321451,"background",NA,NA
"bg323",0.830403866667574,0.539303751314199,0.160696248685801,0.378607502628399,0.365578787244624,1,"NS",0.378607502628399,"background",NA,NA
"bg324",3.87113664119735,0.454243996316156,0.245756003683844,0.208487992632312,0.272196563330013,1,"NS",0.208487992632312,"background",NA,NA
"bg325",3.44384711334481,0.506651963652704,0.193348036347296,0.313303927305407,0.265800328015117,1,"NS",0.313303927305407,"background",NA,NA
"bg326",5.11522338658457,0.527760314836609,0.172239685163391,0.355520629673218,0.476615898517193,1,"NS",0.355520629673218,"background",NA,NA
"bg327",0.189472634411072,0.379668336564942,0.320331663435058,0.0593366731298834,0.480902309247991,1,"NS",0.0593366731298834,"background",NA,NA
"bg328",2.73331475391921,0.442095198845904,0.257904801154096,0.184190397691808,0.263743988842471,1,"NS",0.184190397691808,"background",NA,NA
"bg329",0.448487676334225,0.392022246394151,0.307977753605849,0.0840444927883014,0.28601079196413,1,"NS",0.0840444927883014,"background",NA,NA
"bg330",3.27497005325469,0.498692086115215,0.201307913884784,0.297384172230431,0.357637553396868,1,"NS",0.297384172230431,"background",NA,NA
"bg331",-2.44987397319044,0.127687085555561,0.572312914444439,-0.444625828888877,0.30576138279913,1,"NS",0.444625828888877,"background",NA,NA
"bg332",6.31418039012648,0.640141161594528,0.0598588384054716,0.580282323189057,0.471059945624322,1,"NS",0.580282323189057,"background",NA,NA
"bg333",6.13492653665709,0.567642598543841,0.132357401456159,0.435285197087681,0.16857110058004,1,"NS",0.435285197087681,"background",NA,NA
"bg334",-4.07968073565147,0.157019417397071,0.542980582602929,-0.385961165205859,0.0410059786452912,0.328047829162329,"NS",0.385961165205859,"background",NA,NA
"bg335",-5.11589863724521,0.174769841464998,0.525230158535002,-0.350460317070005,0.02709499158361,0.21675993266888,"NS",0.350460317070005,"background",NA,NA
"bg336",0.536565468156716,0.279993333270923,0.420006666729077,-0.140013333458153,0.2709584811721,1,"NS",0.140013333458153,"background",NA,NA
"bg337",-0.826322804478132,0.292145598429072,0.407854401570928,-0.115708803141856,0.61102532572858,1,"NS",0.115708803141856,"background",NA,NA
"bg338",3.70067436336905,0.524682627411301,0.175317372588699,0.349365254822601,0.137808211276075,1,"NS",0.349365254822601,"background",NA,NA
"bg339",3.64966645029538,0.474912250602098,0.225087749397902,0.249824501204196,0.458094401347218,1,"NS",0.249824501204196,"background",NA,NA
"bg340",-2.78569554058259,0.0940020855532545,0.605997914446745,-0.511995828893491,0.355418365808437,1,"NS",0.511995828893491,"background",NA,NA
"bg341",0.581317671220396,0.369142139272903,0.330857860727097,0.0382842785458065,0.62021131190029,1,"NS",0.0382842785458065,"background",NA,NA
"bg342",0.274431415996099,0.415306977566396,0.284693022433604,0.130613955132792,0.0918795286901295,0.735036229521036,"NS",0.130613955132792,"background",NA,NA
"bg343",0.544397890360669,0.298226972154491,0.401773027845509,-0.103546055691018,0.250933407470118,1,"NS",0.103546055691018,"background",NA,NA
"bg344",5.05466344430179,0.601652359811808,0.0983476401881923,0.503304719623615,0.697049981461372,1,"NS",0.503304719623615,"background",NA,NA
"bg345",4.63630572214136,0.472211229521241,0.227788770478759,0.244422459042483,0.232988159440923,1,"NS",0.244422459042483,"background",NA,NA
"bg346",3.00093130967165,0.487215022023183,0.212784977976817,0.274430044046365,0.139468186505372,1,"NS",0.274430044046365,"background",NA,NA
"bg347",-0.987672342166396,0.30629131187438,0.39370868812562,-0.0874173762512392,0.00718414133577608,0.0574731306862086,"NS",0.0874173762512392,"background",NA,NA
"bg348",-3.08395005094445,0.110770942415858,0.589229057584142,-0.478458115168284,0.581518130946206,1,"NS",0.478458115168284,"background",NA,NA
"bg349",0.155422598792878,0.285643409847077,0.414356590152923,-0.128713180305845,0.569665150459157,1,"NS",0.128713180305845,"background",NA,NA
"bg350",2.34585268176091,0.511140274477262,0.188859725522738,0.322280548954523,0.00674265522137284,0.0539412417709827,"NS",0.322280548954523,"background",NA,NA
"bg351",2.16577712859004,0.414480850610041,0.285519149389959,0.128961701220082,0.635520466221031,1,"NS",0.128961701220082,"background",NA,NA
"bg352",0.0651041390316238,0.315056830354184,0.384943169645816,-0.0698863392916327,0.326173919758527,1,"NS",0.0698863392916327,"background",NA,NA
"bg353",4.17845425145962,0.597093230152355,0.102906769847645,0.49418646030471,0.728648298876593,1,"NS",0.49418646030471,"background",NA,NA
"bg354",-0.0782533274843965,0.381141494567598,0.318858505432402,0.0622829891351966,0.358267596017569,1,"NS",0.0622829891351966,"background",NA,NA
"bg355",3.54943244062492,0.542904405795969,0.157095594204031,0.385808811591937,0.550471618852578,1,"NS",0.385808811591937,"background",NA,NA
"bg356",-5.07459219029293,0.128303439851818,0.571696560148182,-0.443393120296364,0.660404966191854,1,"NS",0.443393120296364,"background",NA,NA
"bg357",1.75992211613239,0.346196652094334,0.353803347905666,-0.00760669581133189,0.01759964644094,0.14079717152752,"NS",0.00760669581133189,"background",NA,NA
"bg358",-1.64199758821271,0.312145553686188,0.387854446313812,-0.0757088926276241,0.0308721651348751,0.246977321079001,"NS",0.0757088926276241,"background",NA,NA
"bg359",10.0596651820716,0.693575754325662,0.01,0.687151508651324,0.614385792027693,1,"NS",0.687151508651324,"background",NA,NA
"bg360",5.94851194927876,0.574578224591404,0.125421775408596,0.449156449182808,0.319619087037863,1,"NS",0.449156449182808,"background",NA,NA
"bg361",-0.780147920532559,0.358195509242043,0.341804490757957,0.0163910184840854,0.730850106826983,1,"NS",0.0163910184840854,"background",NA,NA
"bg362",3.30070591779803,0.445476711829626,0.254523288170374,0.190953423659253,0.742967837933451,1,"NS",0.190953423659253,"background",NA,NA
"bg363",1.48022456253845,0.269869724491974,0.430130275508026,-0.160260551016053,0.0450016616643407,0.360013293314725,"NS",0.160260551016053,"background",NA,NA
"bg364",-2.10029150247451,0.227564079489024,0.472435920510976,-0.244871841021953,0.0141597455427982,0.113277964342386,"NS",0.244871841021953,"background",NA,NA
"bg365",-3.44363952682091,0.169973965927928,0.530026034072072,-0.360052068144144,0.612531434337841,1,"NS",0.360052068144144,"background",NA,NA
"bg366",-2.17435288059449,0.230415472447509,0.469584527552491,-0.239169055104982,0.261750500846421,1,"NS",0.239169055104982,"background",NA,NA
"bg367",-2.12932761177841,0.177255198055083,0.522744801944917,-0.345489603889833,0.234154164552921,1,"NS",0.345489603889833,"background",NA,NA
"bg368",-1.4362481932222,0.240282801849738,0.459717198150261,-0.219434396300523,0.538410697915824,1,"NS",0.219434396300523,"background",NA,NA
"bg369",1.53892602367959,0.350844603449098,0.349155396550902,0.00168920689819652,0.424902520525735,1,"NS",0.00168920689819652,"background",NA,NA
"bg370",11.0328999428699,0.644418630041967,0.0555813699580333,0.588837260083933,0.0911025121093262,0.72882009687461,"NS",0.588837260083933,"background",NA,NA
"bg371",-3.6183312797038,0.18094078181215,0.51905921818785,-0.338118436375701,0.750735477059148,1,"NS",0.338118436375701,"background",NA,NA
"bg372",-3.64877729856141,0.178663202304434,0.521336797695566,-0.342673595391133,0.314465502446983,1,"NS",0.342673595391133,"background",NA,NA
"bg373",3.27753053233618,0.427657679372349,0.272342320627651,0.155315358744698,0.685922807683237,1,"NS",0.155315358744698,"background",NA,NA
"bg374",-2.16083516727735,0.154126443369931,0.545873556630069,-0.391747113260137,0.171544118690304,1,"NS",0.391747113260137,"background",NA,NA
"bg375",1.4073606693881,0.420828051377502,0.279171948622498,0.141656102755003,0.0726671198904514,0.581336959123611,"NS",0.141656102755003,"background",NA,NA
"bg376",-1.64985037558457,0.196996220323742,0.503003779676258,-0.306007559352516,0.117417382912012,0.939339063296095,"NS",0.306007559352516,"background",NA,NA
"bg377",-4.05817168789105,0.1330846315413,0.5669153684587,-0.4338307369174,0.116080149400979,0.928641195207834,"NS",0.4338307369174,"background",NA,NA
"bg378",3.18549167198183,0.446957351136243,0.253042648863757,0.193914702272487,0.0176018751005176,0.140815000804141,"NS",0.193914702272487,"background",NA,NA
"bg379",6.10746140628488,0.594005499158031,0.105994500841969,0.488010998316062,0.667336723288987,1,"NS",0.488010998316062,"background",NA,NA
"bg380",1.78425258373732,0.46045170093582,0.23954829906418,0.220903401871641,0.61603031286085,1,"NS",0.220903401871641,"background",NA,NA
"bg381",-1.86737142061111,0.280979719882508,0.419020280117492,-0.138040560234985,0.709220876888605,1,"NS",0.138040560234985,"background",NA,NA
"bg382",-3.09989020412631,0.17704542291937,0.52295457708063,-0.34590915416126,0.639460402427474,1,"NS",0.34590915416126,"background",NA,NA
"bg383",-0.787833596461442,0.267869228933039,0.432130771066961,-0.164261542133922,0.283303221161943,1,"NS",0.164261542133922,"background",NA,NA
"bg384",7.49762220306098,0.593058198371716,0.106941801628284,0.486116396743432,0.213879339594161,1,"NS",0.486116396743432,"background",NA,NA
"bg385",-0.55100072582908,0.345340213986729,0.354659786013271,-0.00931957202654288,0.246569754337659,1,"NS",0.00931957202654288,"background",NA,NA
"bg386",-2.19097511363139,0.301348769497889,0.398651230502111,-0.0973024610042225,0.523876537267352,1,"NS",0.0973024610042225,"background",NA,NA
"bg387",3.55954045748501,0.425832695188181,0.274167304811819,0.151665390376362,0.780596329049207,1,"NS",0.151665390376362,"background",NA,NA
"bg388",-0.694018831488522,0.322499452920822,0.377500547079178,-0.0550010941583555,0.463644311744953,1,"NS",0.0550010941583555,"background",NA,NA
"bg389",-1.79194981029719,0.191362593331028,0.508637406668972,-0.317274813337945,0.20866142450273,1,"NS",0.317274813337945,"background",NA,NA
"bg390",0.621763940752026,0.423821687102139,0.276178312897861,0.147643374204278,0.729144608714385,1,"NS",0.147643374204278,"background",NA,NA
"bg391",5.56392454757287,0.630716261516957,0.0692837384830426,0.561432523033915,0.390312215535436,1,"NS",0.561432523033915,"background",NA,NA
"bg392",-4.12362882235557,0.12654898192661,0.57345101807339,-0.44690203614678,0.576897755763726,1,"NS",0.44690203614678,"background",NA,NA
"bg393",-5.06083027446573,0.0618348516856845,0.638165148314315,-0.576330296628631,0.244663813596359,1,"NS",0.576330296628631,"background",NA,NA
"bg394",1.45632568639323,0.414121342199691,0.285878657800309,0.128242684399383,0.435164618881187,1,"NS",0.128242684399383,"background",NA,NA
"bg395",0.695854666323486,0.402454397343186,0.297545602656814,0.104908794686373,0.0585700568689499,0.468560454951599,"NS",0.104908794686373,"background",NA,NA
"bg396",5.79465647868245,0.623373081432674,0.0766269185673264,0.546746162865347,0.148904501748271,1,"NS",0.546746162865347,"background",NA,NA
"bg397",2.79338013476739,0.507023964683067,0.192976035316932,0.314047929366135,0.655758144001011,1,"NS",0.314047929366135,"background",NA,NA
"bg398",2.07735937372731,0.490081678610711,0.209918321389289,0.280163357221422,0.159426995907445,1,"NS",0.280163357221422,"background",NA,NA
"bg399",4.28548451446964,0.565936995802691,0.134063004197309,0.431873991605383,0.549798263963079,1,"NS",0.431873991605383,"background",NA,NA
"bg400",-3.55537546213852,0.22705166830691,0.47294833169309,-0.24589666338618,0.0730341663565487,0.584273330852389,"NS",0.24589666338618,"background",NA,NA
"bg401",2.84845651971552,0.392504411348246,0.307495588651754,0.0850088226964924,0.768842540284153,1,"NS",0.0850088226964924,"background",NA,NA
"bg402",2.07539795130817,0.384465618517227,0.315534381482773,0.0689312370344535,0.151330738322577,1,"NS",0.0689312370344535,"background",NA,NA
"bg403",-1.34537752112282,0.332201066153871,0.367798933846129,-0.0355978676922573,0.782291972319363,1,"NS",0.0355978676922573,"background",NA,NA
"bg404",3.41770455718626,0.599602331590706,0.100397668409293,0.499204663181413,0.227379486284917,1,"NS",0.499204663181413,"background",NA,NA
"bg405",0.330071018701001,0.384689219822641,0.315310780177359,0.0693784396452823,0.0689412369488273,0.551529895590618,"NS",0.0693784396452823,"background",NA,NA
"bg406",-1.2838475878246,0.272661194841568,0.427338805158432,-0.154677610316865,0.475518510633847,1,"NS",0.154677610316865,"background",NA,NA
"bg407",1.29039334836031,0.411724593029594,0.288275406970406,0.123449186059188,0.369578529847087,1,"NS",0.123449186059188,"background",NA,NA
"bg408",1.70665214445751,0.423320991232819,0.276679008767181,0.146641982465638,0.0216653865738772,0.173323092591017,"NS",0.146641982465638,"background",NA,NA
"bg409",2.05552304665922,0.462499246813268,0.237500753186732,0.224998493626536,0.225492021466373,1,"NS",0.224998493626536,"background",NA,NA
"bg410",3.32392718641607,0.46760258785404,0.23239741214596,0.23520517570808,0.418991348131094,1,"NS",0.23520517570808,"background",NA,NA
"bg411",0.299006078162346,0.363994948704551,0.336005051295449,0.0279898974091026,0.237410261868266,1,"NS",0.0279898974091026,"background",NA,NA
"bg412",-0.920170451096309,0.404174321742633,0.295825678257367,0.108348643485266,0.144986256464152,1,"NS",0.108348643485266,"background",NA,NA
"bg413",-2.31344299133549,0.240834573987021,0.459165426012979,-0.218330852025958,0.244272461718647,1,"NS",0.218330852025958,"background",NA,NA
"bg414",-0.0617316162501001,0.299451254894413,0.400548745105587,-0.101097490211174,0.585126951404149,1,"NS",0.101097490211174,"background",NA,NA
"bg415",-3.87986520999535,0.0824586538315356,0.617541346168464,-0.535082692336929,0.0111187060633674,0.0889496485069394,"NS",0.535082692336929,"background",NA,NA
"bg416",0.0944217638521492,0.314579330624439,0.385420669375561,-0.0708413387511215,0.468126974554732,1,"NS",0.0708413387511215,"background",NA,NA
"bg417",-5.2038576911654,0.114245203936577,0.585754796063423,-0.471509592126845,0.27037691933848,1,"NS",0.471509592126845,"background",NA,NA
"bg418",2.84115513683736,0.498332360706194,0.201667639293806,0.296664721412388,0.711876372213475,1,"NS",0.296664721412388,"background",NA,NA
"bg419",-1.45933709019804,0.28075346862187,0.41924653137813,-0.138493062756259,0.0914608908011578,0.731687126409262,"NS",0.138493062756259,"background",NA,NA
"bg420",-1.02114099433489,0.266671537008356,0.433328462991644,-0.166656925983289,0.262207984755514,1,"NS",0.166656925983289,"background",NA,NA
"bg421",-2.34848355866259,0.152605627922269,0.547394372077731,-0.394788744155462,0.613571466420544,1,"NS",0.394788744155462,"background",NA,NA
"bg422",2.88871087050658,0.47720365728251,0.22279634271749,0.25440731456502,0.208726717717247,1,"NS",0.25440731456502,"background",NA,NA
"bg423",-2.84642209520148,0.156555377337645,0.543444622662355,-0.386889245324711,0.0377754102719482,0.302203282175586,"NS",0.386889245324711,"background",NA,NA
"bg424",2.67227809579086,0.541320225681635,0.158679774318365,0.382640451363271,0.296643093743362,1,"NS",0.382640451363271,"background",NA,NA
"bg425",6.83855426638996,0.612765497555296,0.0872345024447044,0.525530995110591,0.464595703822793,1,"NS",0.525530995110591,"background",NA,NA
"bg426",-1.42404198770418,0.345843135765121,0.354156864234879,-0.00831372846975845,0.380188596561318,1,"NS",0.00831372846975845,"background",NA,NA
"bg427",-2.34032337724447,0.261431666108923,0.438568333891077,-0.177136667782153,0.3352962430974,1,"NS",0.177136667782153,"background",NA,NA
"bg428",9.4223659210622,0.572475280558196,0.127524719441804,0.444950561116392,0.307529099394567,1,"NS",0.444950561116392,"background",NA,NA
"bg429",-1.16904103608358,0.271066244569059,0.428933755430941,-0.157867510861882,0.659732251437381,1,"NS",0.157867510861882,"background",NA,NA
"bg430",-0.912938028696593,0.236252589063812,0.463747410936188,-0.227494821872376,0.380820587491849,1,"NS",0.227494821872376,"background",NA,NA
"bg431",3.80153114517791,0.533276442589239,0.166723557410761,0.366552885178478,0.159055119128665,1,"NS",0.366552885178478,"background",NA,NA
"bg432",10.8452130960834,0.688553448116421,0.011446551883579,0.677106896232842,0.459275752956979,1,"NS",0.677106896232842,"background",NA,NA
"bg433",1.9263660872043,0.439318991197232,0.260681008802768,0.178637982394463,0.491995303610805,1,"NS",0.178637982394463,"background",NA,NA
"bg434",-3.02350933088706,0.177322163567147,0.522677836432853,-0.345355672865705,0.59549892714154,1,"NS",0.345355672865705,"background",NA,NA
"bg435",3.46641926531759,0.493386870005846,0.206613129994154,0.286773740011691,0.446278970053419,1,"NS",0.286773740011691,"background",NA,NA
"bg436",0.377901698558902,0.469882485500409,0.230117514499591,0.239764971000818,0.432454489957308,1,"NS",0.239764971000818,"background",NA,NA
"bg437",3.39189708168754,0.444417222707804,0.255582777292196,0.188834445415609,0.435581267161295,1,"NS",0.188834445415609,"background",NA,NA
"bg438",1.85334840093559,0.477319536876574,0.222680463123426,0.254639073753149,0.559798425614368,1,"NS",0.254639073753149,"background",NA,NA
"bg439",-3.53399605142162,0.263729570099031,0.436270429900969,-0.172540859801939,0.0682875510032754,0.546300408026203,"NS",0.172540859801939,"background",NA,NA
"bg440",-3.3622805978851,0.177876301389797,0.522123698610203,-0.344247397220405,0.569900284090312,1,"NS",0.344247397220405,"background",NA,NA
"bg441",4.23067246125822,0.579612292051193,0.120387707948806,0.459224584102387,0.540682283374481,1,"NS",0.459224584102387,"background",NA,NA
"bg442",0.200868527132843,0.20472342077856,0.49527657922144,-0.290553158442881,0.512193014157703,1,"NS",0.290553158442881,"background",NA,NA
"bg443",2.02107804034563,0.463504163353029,0.236495836646971,0.227008326706057,0.686348630673951,1,"NS",0.227008326706057,"background",NA,NA
"bg444",-3.70797829886927,0.126095792068233,0.573904207931767,-0.447808415863533,0.741124752089381,1,"NS",0.447808415863533,"background",NA,NA
"bg445",7.97388708892105,0.620401972569605,0.0795980274303946,0.540803945139211,0.747512041698676,1,"NS",0.540803945139211,"background",NA,NA
"bg446",-0.640376845935398,0.228207406848226,0.471792593151774,-0.243585186303547,0.389246726877056,1,"NS",0.243585186303547,"background",NA,NA
"bg447",2.87187772407819,0.499936122230076,0.200063877769924,0.299872244460153,0.224923310329439,1,"NS",0.299872244460153,"background",NA,NA
"bg448",-0.355722874871765,0.330152726951769,0.369847273048231,-0.0396945460964629,0.236362646203954,1,"NS",0.0396945460964629,"background",NA,NA
"bg449",5.06011760515531,0.560401433085319,0.139598566914681,0.420802866170638,0.77649445244763,1,"NS",0.420802866170638,"background",NA,NA
"bg450",3.75461667201696,0.528326174951382,0.171673825048618,0.356652349902765,0.288907380631194,1,"NS",0.356652349902765,"background",NA,NA
"bg451",0.796187166753667,0.377085977712764,0.322914022287236,0.0541719554255285,0.418356213823194,1,"NS",0.0541719554255285,"background",NA,NA
"bg452",1.84346207087716,0.565212264553275,0.134787735446725,0.430424529106551,0.536434150709072,1,"NS",0.430424529106551,"background",NA,NA
"bg453",6.05794884453866,0.61539911141619,0.0846008885838099,0.53079822283238,0.0775091095955577,0.620072876764461,"NS",0.53079822283238,"background",NA,NA
"bg454",1.35320420728194,0.458608850037934,0.241391149962066,0.217217700075868,0.700942446102621,1,"NS",0.217217700075868,"background",NA,NA
"bg455",-5.15623099935083,0.0126541553172034,0.687345844682797,-0.674691689365593,0.548104960971512,1,"NS",0.674691689365593,"background",NA,NA
"bg456",-2.19370737492964,0.286197578491355,0.413802421508645,-0.127604843017291,0.681971469036769,1,"NS",0.127604843017291,"background",NA,NA
"bg457",8.99635829882667,0.674604656875363,0.0253953431246371,0.649209313750726,0.533943853380159,1,"NS",0.649209313750726,"background",NA,NA
"bg458",3.6387627289169,0.483518285659291,0.216481714340709,0.267036571318581,0.080829049636377,0.646632397091016,"NS",0.267036571318581,"background",NA,NA
"bg459",1.88755778513387,0.498889678808312,0.201110321191688,0.297779357616624,0.520403303584084,1,"NS",0.297779357616624,"background",NA,NA
"bg460",1.76622542126268,0.477421800163074,0.222578199836926,0.254843600326148,0.019136914613191,0.153095316905528,"NS",0.254843600326148,"background",NA,NA
"bg461",-3.84023213282189,0.130792174753126,0.569207825246874,-0.438415650493748,0.575608192313695,1,"NS",0.438415650493748,"background",NA,NA
"bg462",3.47387382595246,0.498193904622549,0.201806095377451,0.296387809245097,0.490576153093949,1,"NS",0.296387809245097,"background",NA,NA
"bg463",-2.94054264052071,0.157468327867725,0.542531672132274,-0.385063344264549,0.538035104223993,1,"NS",0.385063344264549,"background",NA,NA
"bg464",-3.6148288803148,0.067791875628628,0.632208124371372,-0.564416248742744,0.690058293513022,1,"NS",0.564416248742744,"background",NA,NA
"bg465",-2.28406006597642,0.190608710976136,0.509391289023864,-0.318782578047729,0.300436849228805,1,"NS",0.318782578047729,"background",NA,NA
"bg466",2.08211383510082,0.541109315157092,0.158890684842908,0.382218630314184,0.257845095841214,1,"NS",0.382218630314184,"background",NA,NA
"bg467",-3.97375798938316,0.0688739568619308,0.631126043138069,-0.562252086276138,0.327118733197916,1,"NS",0.562252086276138,"background",NA,NA
"bg468",-5.59474947703155,0.0150986709851534,0.684901329014847,-0.669802658029693,0.162605980857275,1,"NS",0.669802658029693,"background",NA,NA
"bg469",7.09593468257388,0.628334739797129,0.0716652602028706,0.556669479594259,0.360742048283806,1,"NS",0.556669479594259,"background",NA,NA
"bg470",1.87249698940834,0.56060326003826,0.13939673996174,0.42120652007652,0.349499403337017,1,"NS",0.42120652007652,"background",NA,NA
"bg471",0.558500920217621,0.38327691356793,0.31672308643207,0.0665538271358602,0.0151238902786281,0.120991122229025,"NS",0.0665538271358602,"background",NA,NA
"bg472",-3.13550700753314,0.159389942298639,0.540610057701361,-0.381220115402722,0.207213140307926,1,"NS",0.381220115402722,"background",NA,NA
"bg473",-1.23413010508531,0.141911936331978,0.558088063668022,-0.416176127336044,0.75798038482503,1,"NS",0.416176127336044,"background",NA,NA
"bg474",4.42985634874942,0.559053298545895,0.140946701454105,0.418106597091789,0.725590043467004,1,"NS",0.418106597091789,"background",NA,NA
"bg475",4.36335481438112,0.582851580691535,0.117148419308465,0.46570316138307,0.653983104268322,1,"NS",0.46570316138307,"background",NA,NA
"bg476",1.64075559154657,0.339461053164804,0.360538946835196,-0.0210778936703912,0.30826970213349,1,"NS",0.0210778936703912,"background",NA,NA
"bg477",-2.7631968312602,0.255100515134657,0.444899484865343,-0.189798969730686,0.00514558567595668,0.0411646854076535,"NS",0.189798969730686,"background",NA,NA
"bg478",1.50334101693835,0.430532202405205,0.269467797594795,0.16106440481041,0.790143549499102,1,"NS",0.16106440481041,"background",NA,NA
"bg479",3.36400832749081,0.522226012178765,0.177773987821235,0.344452024357531,0.0629546327989083,0.503637062391266,"NS",0.344452024357531,"background",NA,NA
"bg480",-0.252295310117826,0.363164872226265,0.336835127773735,0.0263297444525298,0.565156366568524,1,"NS",0.0263297444525298,"background",NA,NA
"bg481",-1.60619434635754,0.149667694853009,0.550332305146991,-0.400664610293982,0.746933060868643,1,"NS",0.400664610293982,"background",NA,NA
"bg482",0.358444981339466,0.31462519412078,0.38537480587922,-0.0707496117584407,0.329807795521803,1,"NS",0.0707496117584407,"background",NA,NA
"bg483",-0.0202372005012859,0.341413307394174,0.358586692605826,-0.0171733852116526,0.655836381486151,1,"NS",0.0171733852116526,"background",NA,NA
"bg484",-1.94718110119441,0.0762934225242938,0.623706577475706,-0.547413154951412,0.428897310406668,1,"NS",0.547413154951412,"background",NA,NA
"bg485",6.13847428007118,0.659426121453004,0.0405738785469963,0.618852242906007,0.632889661393361,1,"NS",0.618852242906007,"background",NA,NA
"bg486",2.91000882046928,0.273244033065848,0.426755966934152,-0.153511933868304,0.517403560906183,1,"NS",0.153511933868304,"background",NA,NA
"bg487",2.10395938296254,0.440298354773552,0.259701645226448,0.180596709547105,0.695102983713383,1,"NS",0.180596709547105,"background",NA,NA
"bg488",-3.72286858024991,0.144536616116414,0.555463383883586,-0.410926767767172,0.682003953145351,1,"NS",0.410926767767172,"background",NA,NA
"bg489",-2.38161266659825,0.188950984133525,0.511049015866475,-0.32209803173295,0.13035151629732,1,"NS",0.32209803173295,"background",NA,NA
"bg490",5.0402791915361,0.529079642892727,0.170920357107273,0.358159285785454,0.667910048755817,1,"NS",0.358159285785454,"background",NA,NA
"bg491",-5.21048062730873,0.0526478641155373,0.647352135884463,-0.594704271768925,0.67528824320063,1,"NS",0.594704271768925,"background",NA,NA
"bg492",3.84517258411988,0.574146121871187,0.125853878128813,0.448292243742373,0.6289002407589,1,"NS",0.448292243742373,"background",NA,NA
"bg493",2.58769609977588,0.491594923066512,0.208405076933488,0.283189846133025,0.455610899755731,1,"NS",0.283189846133025,"background",NA,NA
"bg494",1.36925933932266,0.310600705303745,0.389399294696255,-0.0787985893925109,0.148964215872576,1,"NS",0.0787985893925109,"background",NA,NA
"bg495",-0.728798279780983,0.250339341816555,0.449660658183445,-0.199321316366891,0.404705126976827,1,"NS",0.199321316366891,"background",NA,NA
"bg496",-2.50771814746748,0.180771808688872,0.519228191311128,-0.338456382622256,0.197504789816914,1,"NS",0.338456382622256,"background",NA,NA
"bg497",0.22647198163939,0.335810411994341,0.364189588005659,-0.0283791760113171,0.449319432462566,1,"NS",0.0283791760113171,"background",NA,NA
"bg498",4.52263716081248,0.608517039405482,0.0914829605945179,0.517034078810964,0.0307248858967796,0.245799087174237,"NS",0.517034078810964,"background",NA,NA
"bg499",1.1283352229562,0.433990057744795,0.266009942255205,0.167980115489589,0.721634301822633,1,"NS",0.167980115489589,"background",NA,NA
"bg500",-1.82303799475965,0.316330308586088,0.383669691413912,-0.0673393828278245,0.771577989422483,1,"NS",0.0673393828278245,"background",NA,NA
"bg501",-2.99521522753281,0.186191739227598,0.513808260772402,-0.327616521544804,0.55574554082891,1,"NS",0.327616521544804,"background",NA,NA
"bg502",-2.47507763232676,0.202874531227446,0.497125468772554,-0.294250937545108,0.147602609978523,1,"NS",0.294250937545108,"background",NA,NA
"bg503",-2.55565782906292,0.210299587576327,0.489700412423673,-0.279400824847346,0.143954457399668,1,"NS",0.279400824847346,"background",NA,NA
"bg504",1.24540675843521,0.477953421192244,0.222046578807756,0.255906842384487,0.410485466078389,1,"NS",0.255906842384487,"background",NA,NA
"bg505",-0.199019007828623,0.287226720870791,0.412773279129209,-0.125546558258419,0.674225980703719,1,"NS",0.125546558258419,"background",NA,NA
