cell,umap_1,umap_2,RNA_snn_res.0.5,newMainCellTypes
cell_01112,8.48238,-7.51958,14,Lymphoid
cell_01113,9.94088,-7.17728,14,Lymphoid
cell_01114,8.48260,-6.47250,14,Lymphoid
cell_01115,9.80856,-7.40679,14,Lymphoid
cell_01116,10.16002,-6.22352,14,Lymphoid
cell_01117,8.95017,-8.23862,14,Lymphoid
cell_01118,10.43519,-6.79537,14,Lymphoid
cell_01119,8.56313,-6.46952,14,Lymphoid
cell_01120,8.66123,-6.22790,14,Lymphoid
cell_01121,8.95575,-6.95431,14,Lymphoid
cell_01122,10.95362,-7.28701,14,Lymphoid
cell_01123,10.33058,-5.78665,14,Lymphoid
cell_01124,10.45899,-7.19401,14,Lymphoid
cell_01125,10.93978,-5.89774,14,Lymphoid
cell_01126,10.24482,-6.79399,14,Lymphoid
cell_01127,10.83950,-6.51532,14,Lymphoid
cell_01128,10.28235,-7.65699,14,Lymphoid
cell_01129,10.09254,-6.87678,14,Lymphoid
cell_01130,10.00453,-8.00699,14,Lymphoid
cell_01131,9.38219,-7.29767,14,Lymphoid
cell_01132,11.15723,-7.24393,14,Lymphoid
cell_01133,10.69214,-6.28629,14,Lymphoid
cell_01134,12.07271,-7.13621,14,Lymphoid
cell_01135,11.39478,-6.67432,14,Lymphoid
cell_01136,8.90510,-7.63527,14,Lymphoid
cell_01137,10.59077,-6.52737,14,Lymphoid
cell_01138,9.95722,-8.13305,14,Lymphoid
cell_01139,8.47193,-6.97059,14,Lymphoid
cell_01140,10.21628,-7.13196,14,Lymphoid
cell_01141,9.57364,-5.92880,14,Lymphoid
cell_01142,11.19985,-7.74587,14,Lymphoid
cell_01143,10.19433,-6.37887,14,Lymphoid
cell_01144,9.18255,-7.01732,14,Lymphoid
cell_01145,9.83020,-6.52275,14,Lymphoid
cell_01146,10.52222,-7.12416,14,Lymphoid
cell_01147,10.42262,-6.71975,14,Lymphoid
cell_01148,9.59990,-7.15650,14,Lymphoid
cell_01149,9.43435,-6.24795,14,Lymphoid
cell_01150,9.98259,-6.82547,14,Lymphoid
cell_01151,10.01918,-6.83677,14,Lymphoid
cell_01152,9.09701,-7.17555,14,Lymphoid
cell_01153,10.22990,-5.62530,14,Lymphoid
cell_01154,8.28024,-5.94101,14,Lymphoid
cell_01155,9.55404,-7.16483,14,Lymphoid
cell_01156,9.12329,-7.11937,14,Lymphoid
cell_01157,10.97407,-6.82250,14,Lymphoid
cell_01158,11.81409,-6.04568,14,Lymphoid
cell_01159,11.69865,-6.17554,14,Lymphoid
cell_01160,9.38614,-6.80276,14,Lymphoid
cell_01161,10.50208,-6.27601,14,Lymphoid
cell_01162,8.35037,-7.15270,14,Lymphoid
cell_01163,9.55248,-7.15527,14,Lymphoid
cell_01164,10.37492,-6.74458,14,Lymphoid
cell_01165,9.01664,-6.18844,14,Lymphoid
cell_01166,11.97069,-6.52214,14,Lymphoid
cell_01167,10.74021,-6.95728,14,Lymphoid
cell_01168,9.91120,-8.58606,14,Lymphoid
cell_01169,10.68297,-7.03629,14,Lymphoid
cell_01170,9.62151,-6.96168,14,Lymphoid
cell_01171,9.67908,-7.10939,14,Lymphoid
cell_01172,8.77236,-6.56349,14,Lymphoid
cell_01173,10.32713,-7.39142,14,Lymphoid
cell_01174,10.08345,-6.94297,14,Lymphoid
cell_01175,8.72593,-6.26940,14,Lymphoid
cell_01176,10.13509,-7.33668,14,Lymphoid
cell_01177,9.60943,-7.67765,14,Lymphoid
cell_01178,9.40964,-6.64230,14,Lymphoid
cell_01179,10.90804,-6.07203,14,Lymphoid
cell_01180,11.18196,-6.44826,14,Lymphoid
cell_01181,10.15259,-6.03723,14,Lymphoid
cell_01182,11.25469,-5.99797,14,Lymphoid
cell_01183,7.56972,-7.09997,14,Lymphoid
cell_01184,9.75499,-7.41283,14,Lymphoid
cell_01185,8.11597,-7.01811,14,Lymphoid
cell_01186,10.52052,-6.99047,14,Lymphoid
cell_01187,10.09646,-5.99695,14,Lymphoid
cell_01188,9.21279,-7.29850,14,Lymphoid
cell_01189,9.63761,-7.80294,14,Lymphoid
cell_01190,8.99935,-7.60724,14,Lymphoid
cell_01191,10.80967,-6.03872,14,Lymphoid
cell_01192,8.86804,-6.57991,14,Lymphoid
cell_01193,10.79346,-5.00141,14,Lymphoid
cell_01194,11.64307,-6.37729,14,Lymphoid
cell_01195,11.28834,-7.70780,14,Lymphoid
cell_01196,11.57337,-5.67492,14,Lymphoid
cell_01197,10.02055,-5.77334,14,Lymphoid
cell_01198,8.50418,-6.15155,14,Lymphoid
cell_01199,10.17266,-6.47863,14,Lymphoid
cell_01200,9.52583,-6.91176,14,Lymphoid
cell_01201,10.09496,-5.52663,14,Lymphoid
cell_01202,10.31749,-5.62868,14,Lymphoid
cell_01203,9.29623,-5.73189,14,Lymphoid
cell_01204,9.53824,-7.62082,14,Lymphoid
cell_01205,10.31531,-7.08521,14,Lymphoid
cell_01206,9.32583,-6.31902,14,Lymphoid
cell_01207,9.59361,-5.58922,14,Lymphoid
cell_01208,9.89779,-7.46142,14,Lymphoid
cell_01209,9.54189,-7.00723,14,Lymphoid
cell_01210,7.60936,-5.94283,14,Lymphoid
cell_01211,10.16427,-7.53876,14,Lymphoid
cell_01212,10.38866,-7.40894,14,Lymphoid
cell_01213,9.10470,-6.30936,14,Lymphoid
cell_01214,11.00001,-6.43780,14,Lymphoid
cell_01215,11.78073,-6.11087,14,Lymphoid
cell_01216,10.72107,-6.57483,14,Lymphoid
cell_01217,8.71668,-7.43681,14,Lymphoid
cell_01218,8.66859,-6.57434,14,Lymphoid
cell_01219,10.28580,-6.43400,14,Lymphoid
cell_01220,10.98107,-6.40061,14,Lymphoid
cell_01221,8.43879,-7.41385,14,Lymphoid
cell_01222,10.39355,-7.43325,14,Lymphoid
cell_01223,9.59733,-7.19957,14,Lymphoid
cell_01224,10.50834,-6.10044,14,Lymphoid
cell_01225,9.73038,-7.16224,14,Lymphoid
cell_01226,10.48762,-7.90063,14,Lymphoid
cell_01227,10.15721,-6.70489,14,Lymphoid
cell_01228,8.61486,-8.07013,14,Lymphoid
cell_01229,9.50145,-6.01819,14,Lymphoid
cell_01230,10.03694,-7.25674,14,Lymphoid
cell_01231,9.08144,-6.46525,14,Lymphoid
cell_01232,9.47596,-7.07460,14,Lymphoid
cell_01233,9.50280,-6.80203,14,Lymphoid
cell_01234,10.06691,-7.21312,14,Lymphoid
cell_01235,10.79984,-7.18103,14,Lymphoid
cell_01236,10.24060,-7.49703,14,Lymphoid
cell_01237,10.15252,-7.27610,14,Lymphoid
cell_01238,10.21324,-6.91389,14,Lymphoid
cell_01239,10.17862,-7.59302,14,Lymphoid
cell_01240,9.81728,-7.75005,14,Lymphoid
cell_01241,8.93599,-6.20907,14,Lymphoid
cell_01242,11.06636,-6.92707,14,Lymphoid
cell_01243,9.83597,-6.82161,14,Lymphoid
cell_01244,9.95585,-6.08398,14,Lymphoid
cell_01245,10.19701,-6.80565,14,Lymphoid
cell_01246,10.32710,-6.04506,14,Lymphoid
cell_01247,11.10223,-6.68206,14,Lymphoid
cell_01248,10.67380,-7.65009,14,Lymphoid
cell_01249,9.84503,-8.26505,14,Lymphoid
cell_01250,10.77709,-6.75049,14,Lymphoid
cell_01251,10.52961,-7.20367,14,Lymphoid
cell_01252,10.73231,-6.41564,14,Lymphoid
cell_01253,10.14915,-5.50741,14,Lymphoid
cell_01254,8.79827,-7.03338,14,Lymphoid
cell_01255,8.66345,-7.50837,14,Lymphoid
cell_01256,9.57903,-7.40547,14,Lymphoid
cell_01257,9.86101,-5.08287,14,Lymphoid
cell_01258,8.26468,-6.26950,14,Lymphoid
cell_01259,9.31816,-7.32456,14,Lymphoid
cell_01260,10.56349,-6.58849,14,Lymphoid
cell_01261,8.10974,-7.49408,15,Lymphoid
cell_01262,7.79800,-6.51344,15,Lymphoid
cell_01263,8.19077,-6.19873,15,Lymphoid
cell_01264,9.17021,-6.95471,15,Lymphoid
cell_01265,6.96128,-5.10518,15,Lymphoid
cell_01266,7.82409,-6.03433,15,Lymphoid
cell_01267,7.20003,-5.79805,15,Lymphoid
cell_01268,7.99315,-6.59171,15,Lymphoid
cell_01269,6.97127,-6.36587,15,Lymphoid
cell_01270,7.87106,-5.88845,15,Lymphoid
cell_01271,8.02253,-6.01826,15,Lymphoid
cell_01272,9.82909,-7.64235,15,Lymphoid
cell_01273,8.37667,-6.11595,15,Lymphoid
cell_01274,7.01323,-5.77592,15,Lymphoid
cell_01275,6.89918,-5.65229,15,Lymphoid
cell_01276,7.94280,-6.59445,15,Lymphoid
cell_01277,8.99077,-6.48634,15,Lymphoid
cell_01278,8.13227,-6.49528,15,Lymphoid
cell_01279,7.99968,-5.62613,15,Lymphoid
cell_01280,7.78680,-6.81537,15,Lymphoid
cell_01281,6.83519,-6.51562,15,Lymphoid
cell_01282,9.48804,-7.14997,15,Lymphoid
cell_01283,8.43055,-7.76296,15,Lymphoid
cell_01284,7.02647,-8.26093,15,Lymphoid
cell_01285,8.89924,-6.35842,15,Lymphoid
cell_01286,8.77553,-6.70739,15,Lymphoid
cell_01287,8.21744,-6.60027,15,Lymphoid
cell_01288,8.09497,-6.57551,15,Lymphoid
cell_01289,8.70145,-5.01023,15,Lymphoid
cell_01290,8.70974,-5.00793,15,Lymphoid
cell_01291,8.38606,-6.42053,15,Lymphoid
cell_01292,8.16394,-6.74632,15,Lymphoid
cell_01293,9.31077,-6.27740,15,Lymphoid
cell_01294,8.71357,-8.25473,15,Lymphoid
cell_01295,8.70370,-6.08899,15,Lymphoid
cell_01296,8.23145,-6.88959,15,Lymphoid
cell_01297,9.03056,-6.88020,15,Lymphoid
cell_01298,9.11724,-6.33601,15,Lymphoid
cell_01299,8.04216,-7.03759,15,Lymphoid
cell_01300,8.30262,-5.57700,15,Lymphoid
cell_01301,7.83210,-5.46531,15,Lymphoid
cell_01302,9.33764,-6.03587,15,Lymphoid
cell_01303,8.67234,-6.68700,15,Lymphoid
cell_01304,8.31241,-6.85948,15,Lymphoid
cell_01305,8.82301,-6.44158,15,Lymphoid
cell_01306,8.38641,-7.39576,15,Lymphoid
cell_01307,9.55672,-6.94602,15,Lymphoid
cell_01308,9.17577,-7.59064,15,Lymphoid
cell_01309,7.55473,-6.48400,15,Lymphoid
cell_01310,7.43708,-6.84981,15,Lymphoid
cell_01311,8.40827,-5.91542,15,Lymphoid
cell_01312,7.37064,-5.47073,15,Lymphoid
cell_01313,7.57855,-6.71867,15,Lymphoid
cell_01314,8.83673,-5.98063,15,Lymphoid
cell_01315,7.50161,-5.14199,15,Lymphoid
cell_01316,8.07954,-5.23690,15,Lymphoid
cell_01317,7.60840,-5.42013,15,Lymphoid
cell_01318,7.76630,-6.22667,15,Lymphoid
cell_01319,9.11965,-7.02863,15,Lymphoid
cell_01320,8.97212,-5.49170,15,Lymphoid
cell_01321,8.74697,-6.11054,15,Lymphoid
cell_01322,8.82102,-7.96623,15,Lymphoid
cell_01323,8.66964,-6.27045,15,Lymphoid
cell_01324,8.66927,-6.35853,15,Lymphoid
cell_01325,8.87845,-6.89456,15,Lymphoid
cell_01326,7.34844,-6.27236,15,Lymphoid
cell_01327,8.61786,-6.55170,15,Lymphoid
cell_01328,8.23003,-6.66033,15,Lymphoid
cell_01329,7.50988,-6.93512,15,Lymphoid
cell_01330,6.42547,-6.99089,15,Lymphoid
cell_01331,8.93232,-6.19424,15,Lymphoid
cell_01332,8.00142,-8.29917,15,Lymphoid
cell_01333,7.81604,-6.90962,15,Lymphoid
cell_01334,9.13087,-6.85036,15,Lymphoid
cell_01335,7.25177,-7.47007,15,Lymphoid
cell_01336,8.55511,-6.82133,15,Lymphoid
cell_01337,8.94810,-6.21040,15,Lymphoid
cell_01338,8.01915,-6.86025,15,Lymphoid
cell_01339,8.14545,-6.35175,15,Lymphoid
cell_01340,7.14384,-6.10319,15,Lymphoid
cell_01341,7.84527,-7.61079,15,Lymphoid
cell_01342,8.89011,-5.58046,15,Lymphoid
cell_01343,8.38432,-6.23693,15,Lymphoid
cell_01344,8.21888,-6.54958,15,Lymphoid
cell_01345,9.07878,-5.83548,15,Lymphoid
cell_01346,7.72962,-6.62108,15,Lymphoid
cell_01347,8.85875,-6.62787,15,Lymphoid
cell_01348,7.72032,-6.56766,15,Lymphoid
cell_01349,7.58933,-5.54501,15,Lymphoid
cell_01350,8.75201,-5.75998,15,Lymphoid
cell_01351,6.95444,-6.30059,15,Lymphoid
cell_01352,8.56686,-7.60558,15,Lymphoid
cell_01353,8.43611,-6.78402,15,Lymphoid
cell_01354,7.13794,-6.14658,15,Lymphoid
cell_01355,8.12380,-6.84924,15,Lymphoid
cell_01356,7.49715,-6.55883,15,Lymphoid
cell_01357,8.48332,-5.98112,15,Lymphoid
cell_01358,8.02637,-6.32704,15,Lymphoid
cell_01359,8.83760,-6.57131,15,Lymphoid
cell_01360,8.21312,-5.26076,15,Lymphoid
cell_01361,7.84362,-6.61411,15,Lymphoid
cell_01362,8.10417,-5.81130,15,Lymphoid
cell_01363,6.97423,-5.52386,15,Lymphoid
cell_01364,8.76166,-6.72505,15,Lymphoid
cell_01365,6.81983,-5.96639,15,Lymphoid
cell_01366,8.30246,-5.57380,15,Lymphoid
cell_01367,8.14724,-5.64764,15,Lymphoid
cell_01368,8.02455,-6.48137,15,Lymphoid
cell_01369,8.35475,-5.48208,15,Lymphoid
cell_01370,8.31249,-6.40141,15,Lymphoid
cell_01371,9.66537,-6.55700,15,Lymphoid
cell_01372,7.87982,-7.36950,15,Lymphoid
cell_01373,7.04725,-5.89344,15,Lymphoid
cell_01374,8.28080,-6.92073,15,Lymphoid
cell_01375,7.11914,-6.92678,15,Lymphoid
cell_01376,7.41516,-8.41671,15,Lymphoid
cell_01377,7.56905,-6.12533,15,Lymphoid
cell_01378,8.49710,-7.00212,15,Lymphoid
cell_01379,9.05341,-7.53887,15,Lymphoid
cell_01380,7.82311,-6.26894,15,Lymphoid
cell_01381,7.62164,-6.20664,15,Lymphoid
cell_01382,8.72489,-5.93991,15,Lymphoid
cell_01383,9.07206,-6.39838,15,Lymphoid
cell_01384,7.72831,-6.72742,15,Lymphoid
cell_01385,8.00686,-5.37531,15,Lymphoid
cell_01386,8.05691,-7.30661,15,Lymphoid
cell_01387,7.06071,-6.07065,15,Lymphoid
cell_01388,8.71302,-6.00757,15,Lymphoid
cell_01389,7.98519,-6.80889,15,Lymphoid
cell_01390,8.25408,-5.94851,15,Lymphoid
cell_01391,6.88240,-6.75784,15,Lymphoid
cell_01392,6.61606,-5.83233,15,Lymphoid
cell_01393,8.03761,-5.90854,15,Lymphoid
cell_01394,8.40064,-7.41521,15,Lymphoid
cell_01395,8.71558,-6.38290,15,Lymphoid
cell_01396,7.72745,-6.66631,15,Lymphoid
cell_01397,7.19210,-6.36776,15,Lymphoid
cell_01398,6.93369,-6.78780,15,Lymphoid
cell_01399,8.51813,-6.53743,15,Lymphoid
cell_01400,7.79484,-5.13605,15,Lymphoid
cell_01401,7.65749,-5.83715,15,Lymphoid
cell_01402,8.42925,-5.84682,15,Lymphoid
cell_01403,8.96157,-6.72989,15,Lymphoid
cell_01404,7.58520,-5.55476,15,Lymphoid
cell_01405,7.51673,-7.95128,15,Lymphoid
cell_01406,7.35371,-6.69177,15,Lymphoid
cell_01407,7.25137,-7.00482,15,Lymphoid
cell_01408,8.49382,-6.21395,15,Lymphoid
cell_01409,7.71407,-8.18036,15,Lymphoid
cell_01410,9.42314,-6.51065,15,Lymphoid
cell_01411,10.38044,-6.14518,15,Lymphoid
cell_01412,8.64879,-6.57507,15,Lymphoid
cell_01413,8.60755,-6.72334,15,Lymphoid
cell_01414,8.55592,-6.20825,15,Lymphoid
cell_01415,8.43515,-6.27630,15,Lymphoid
cell_01416,7.94236,-7.68127,15,Lymphoid
cell_01417,8.61910,-5.28268,15,Lymphoid
cell_01418,9.26191,-8.02950,15,Lymphoid
cell_01419,8.85599,-6.40618,15,Lymphoid
cell_01420,8.45966,-5.75628,15,Lymphoid
cell_01421,7.58956,-5.61249,15,Lymphoid
cell_01422,8.71973,-6.56338,15,Lymphoid
cell_01423,7.54048,-6.05593,15,Lymphoid
cell_01424,8.22691,-4.77413,15,Lymphoid
cell_01425,6.82338,-6.99540,15,Lymphoid
cell_01426,7.10729,-6.78401,15,Lymphoid
cell_01427,6.63500,-6.59164,15,Lymphoid
cell_01428,7.29320,-6.39618,15,Lymphoid
cell_01429,7.99548,-6.26889,15,Lymphoid
cell_01430,7.38059,-6.18564,15,Lymphoid
cell_01431,7.63193,-6.35284,15,Lymphoid
cell_01432,7.76564,-4.89639,15,Lymphoid
cell_01433,7.93078,-6.11964,15,Lymphoid
cell_01434,6.86466,-6.35305,15,Lymphoid
cell_01435,8.81322,-6.51378,15,Lymphoid
cell_01436,6.84673,-7.11254,15,Lymphoid
cell_01437,8.08005,-6.15775,15,Lymphoid
cell_01438,9.74686,-6.89075,15,Lymphoid
cell_01439,8.57395,-6.52250,15,Lymphoid
cell_01440,9.14382,-6.24556,15,Lymphoid
cell_01441,7.95096,0.43458,16,Myeloid
cell_01442,6.59959,-0.26805,16,Myeloid
cell_01443,8.67450,0.34773,16,Myeloid
cell_01444,8.22232,-0.34872,16,Myeloid
cell_01445,7.73912,-0.59795,16,Myeloid
cell_01446,6.53833,1.05456,16,Myeloid
cell_01447,6.14185,0.65430,16,Myeloid
cell_01448,7.64286,-0.42153,16,Myeloid
cell_01449,8.18767,0.15414,16,Myeloid
cell_01450,8.11676,0.42156,16,Myeloid
cell_01451,6.28332,0.65533,16,Myeloid
cell_01452,7.07914,-0.19734,16,Myeloid
cell_01453,8.25769,-0.30945,16,Myeloid
cell_01454,8.13058,0.51174,16,Myeloid
cell_01455,8.93961,0.42221,16,Myeloid
cell_01456,8.10759,-0.55482,16,Myeloid
cell_01457,7.06496,-0.56246,16,Myeloid
cell_01458,6.33030,0.86222,16,Myeloid
cell_01459,7.80838,-0.18628,16,Myeloid
cell_01460,7.79785,0.37205,16,Myeloid
cell_01461,8.88988,0.37389,16,Myeloid
cell_01462,8.70302,-0.37352,16,Myeloid
cell_01463,7.27762,0.03871,16,Myeloid
cell_01464,8.51387,0.11816,16,Myeloid
cell_01465,7.80361,-0.03547,16,Myeloid
cell_01466,7.81306,-0.55766,16,Myeloid
cell_01467,7.71037,0.73003,16,Myeloid
cell_01468,7.49509,-0.07883,16,Myeloid
cell_01469,8.80295,-0.99663,16,Myeloid
cell_01470,8.54047,0.23277,16,Myeloid
cell_01471,6.79041,0.35906,16,Myeloid
cell_01472,7.19612,0.04147,16,Myeloid
cell_01473,7.69944,-0.27636,16,Myeloid
cell_01474,7.74566,0.53816,16,Myeloid
cell_01475,6.71843,0.83713,16,Myeloid
cell_01476,7.40757,0.48461,16,Myeloid
cell_01477,8.12353,0.59785,16,Myeloid
cell_01478,6.80808,-0.02472,16,Myeloid
cell_01479,6.78277,1.46399,16,Myeloid
cell_01480,8.62377,2.13434,16,Myeloid
cell_01481,6.77260,-0.03419,16,Myeloid
cell_01482,6.91192,0.74714,16,Myeloid
cell_01483,6.58633,-0.26388,16,Myeloid
cell_01484,7.50483,-0.12607,16,Myeloid
cell_01485,8.46716,1.17504,16,Myeloid
cell_01486,7.14208,0.35669,16,Myeloid
cell_01487,8.41333,1.18079,16,Myeloid
cell_01488,8.88496,0.85792,16,Myeloid
cell_01489,7.44821,0.94209,16,Myeloid
cell_01490,8.89967,1.46951,16,Myeloid
cell_01491,6.78334,0.49761,16,Myeloid
cell_01492,8.96202,0.77972,16,Myeloid
cell_01493,7.96334,-0.69774,16,Myeloid
cell_01494,7.33787,1.06309,16,Myeloid
cell_01495,6.46305,-0.87609,16,Myeloid
cell_01496,7.48799,1.10307,16,Myeloid
cell_01497,8.44358,0.25852,16,Myeloid
cell_01498,8.12881,0.58243,16,Myeloid
cell_01499,7.21099,0.48696,16,Myeloid
cell_01500,7.63262,0.59446,16,Myeloid
cell_01501,7.30592,0.98480,16,Myeloid
cell_01502,7.44067,0.52811,16,Myeloid
cell_01503,8.18467,0.01966,16,Myeloid
cell_01504,9.39816,0.27000,16,Myeloid
cell_01505,7.83624,0.10910,16,Myeloid
cell_01506,6.92483,1.18456,16,Myeloid
cell_01507,7.61847,0.42760,16,Myeloid
cell_01508,7.13649,0.38227,16,Myeloid
cell_01509,6.20274,0.59616,16,Myeloid
cell_01510,6.51317,0.18685,16,Myeloid
cell_01511,7.67895,0.72825,16,Myeloid
cell_01512,5.88874,0.16960,16,Myeloid
cell_01513,7.39027,0.52359,16,Myeloid
cell_01514,7.15978,-0.51508,16,Myeloid
cell_01515,7.93877,0.48803,16,Myeloid
cell_01516,7.66821,-0.08637,16,Myeloid
cell_01517,9.16055,0.21795,16,Myeloid
cell_01518,8.23818,0.20157,16,Myeloid
cell_01519,8.58197,-0.09083,16,Myeloid
cell_01520,7.59675,0.68070,16,Myeloid
cell_01521,7.25967,-0.35551,16,Myeloid
cell_01522,6.94386,0.73924,16,Myeloid
cell_01523,7.83983,-0.86400,16,Myeloid
cell_01524,8.13300,0.44352,16,Myeloid
cell_01525,7.65931,0.72325,16,Myeloid
cell_01526,7.93398,0.26643,16,Myeloid
cell_01527,8.32674,-0.45530,16,Myeloid
cell_01528,7.97831,1.74024,16,Myeloid
cell_01529,6.86966,0.76988,16,Myeloid
cell_01530,7.35562,0.73985,16,Myeloid
cell_01531,6.94910,0.99117,16,Myeloid
cell_01532,9.36667,1.17634,16,Myeloid
cell_01533,8.88249,1.06289,16,Myeloid
cell_01534,8.25440,0.64259,16,Myeloid
cell_01535,8.01572,0.94572,16,Myeloid
cell_01536,7.47414,0.80709,16,Myeloid
cell_01537,7.70196,0.22494,16,Myeloid
cell_01538,8.54111,-0.75593,16,Myeloid
cell_01539,7.92836,-0.27130,16,Myeloid
cell_01540,7.37092,0.75948,16,Myeloid
cell_01541,8.67253,0.06440,16,Myeloid
cell_01542,7.33802,0.49459,16,Myeloid
cell_01543,8.22434,0.21918,16,Myeloid
cell_01544,6.12719,0.09642,16,Myeloid
cell_01545,7.56116,0.73264,16,Myeloid
cell_01546,7.80175,1.37970,16,Myeloid
cell_01547,6.48706,-0.34090,16,Myeloid
cell_01548,8.15832,1.31349,16,Myeloid
cell_01549,8.85341,0.61796,16,Myeloid
cell_01550,9.37523,1.87980,16,Myeloid
cell_01551,8.12206,0.15572,16,Myeloid
cell_01552,6.16385,0.36924,16,Myeloid
cell_01553,7.27183,0.25753,16,Myeloid
cell_01554,7.93049,0.14629,16,Myeloid
cell_01555,7.90980,0.50730,16,Myeloid
cell_01556,7.81125,0.84445,16,Myeloid
cell_01557,8.42787,0.75888,16,Myeloid
cell_01558,7.37122,1.32780,16,Myeloid
cell_01559,9.14246,1.34778,16,Myeloid
cell_01560,7.37154,-0.30632,16,Myeloid
cell_01561,7.48296,0.70366,16,Myeloid
cell_01562,7.65824,0.22259,16,Myeloid
cell_01563,8.47589,1.35212,16,Myeloid
cell_01564,7.81691,0.60804,16,Myeloid
cell_01565,7.55990,0.67000,16,Myeloid
cell_01566,8.64603,0.21034,16,Myeloid
cell_01567,7.90376,-0.57440,16,Myeloid
cell_01568,8.19439,1.74079,16,Myeloid
cell_01569,7.79419,0.93145,16,Myeloid
cell_01570,6.91497,1.70043,16,Myeloid
cell_01571,8.05638,0.39107,16,Myeloid
cell_01572,7.23455,-0.89759,16,Myeloid
cell_01573,7.05998,-0.13727,16,Myeloid
cell_01574,7.23923,0.14751,16,Myeloid
cell_01575,7.33899,-0.11749,16,Myeloid
cell_01576,7.43223,-1.10112,16,Myeloid
cell_01577,7.16352,0.68767,16,Myeloid
cell_01578,8.17136,0.79049,16,Myeloid
cell_01579,7.57381,0.23779,16,Myeloid
cell_01580,8.65175,0.00549,16,Myeloid
cell_01581,7.71763,0.99464,16,Myeloid
cell_01582,7.64774,0.59018,16,Myeloid
cell_01583,7.00126,0.33591,16,Myeloid
cell_01584,7.41957,-0.11556,16,Myeloid
cell_01585,8.51807,0.84647,16,Myeloid
cell_01586,8.63821,0.47280,16,Myeloid
cell_01587,7.23497,-0.03794,16,Myeloid
cell_01588,7.85520,2.11793,16,Myeloid
cell_01589,7.07407,0.79376,16,Myeloid
cell_01590,8.19571,-0.02754,16,Myeloid
cell_01591,8.07411,1.29943,16,Myeloid
cell_01592,7.66482,0.29845,16,Myeloid
cell_01593,8.04989,0.63787,16,Myeloid
cell_01594,8.01018,0.83227,16,Myeloid
cell_01595,7.72257,1.02496,16,Myeloid
cell_01596,7.00979,1.28026,16,Myeloid
cell_01597,7.11561,2.21835,16,Myeloid
cell_01598,6.68685,-0.24476,16,Myeloid
cell_01599,8.05947,0.54824,16,Myeloid
cell_01600,7.47640,0.93622,16,Myeloid
cell_01601,7.45837,0.24830,16,Myeloid
cell_01602,6.13492,-0.27173,16,Myeloid
cell_01603,7.57894,-0.02052,16,Myeloid
cell_01604,7.72896,0.54076,16,Myeloid
cell_01605,7.50125,-0.42792,16,Myeloid
cell_01606,6.76807,0.98299,16,Myeloid
cell_01607,8.19662,-0.11611,16,Myeloid
cell_01608,7.32844,0.73431,16,Myeloid
cell_01609,7.98578,1.33865,16,Myeloid
cell_01610,6.63793,2.33999,16,Myeloid
cell_01611,7.19394,-0.34122,16,Myeloid
cell_01612,7.78932,0.92411,16,Myeloid
cell_01613,9.42426,-0.89489,16,Myeloid
cell_01614,8.27989,0.50458,16,Myeloid
cell_01615,7.29699,0.26239,16,Myeloid
cell_01616,8.15823,0.78318,16,Myeloid
cell_01617,7.28162,0.34698,16,Myeloid
cell_01618,7.91310,0.20864,16,Myeloid
cell_01619,7.20394,0.70813,16,Myeloid
cell_01620,6.68174,0.89638,16,Myeloid
cell_01621,7.39275,1.65093,6,Myeloid
cell_01622,8.79295,1.26775,6,Myeloid
cell_01623,7.64308,1.65346,6,Myeloid
cell_01624,6.73147,0.36172,6,Myeloid
cell_01625,6.52147,-0.02864,6,Myeloid
cell_01626,8.74757,1.70400,6,Myeloid
cell_01627,8.63776,0.71912,6,Myeloid
cell_01628,7.27803,0.78262,6,Myeloid
cell_01629,8.75535,2.25055,6,Myeloid
cell_01630,7.39692,0.67886,6,Myeloid
cell_01631,8.56797,1.87712,6,Myeloid
cell_01632,7.14374,1.74835,6,Myeloid
cell_01633,7.80259,0.51714,6,Myeloid
cell_01634,8.05682,1.59899,6,Myeloid
cell_01635,5.15828,0.34467,6,Myeloid
cell_01636,7.18378,0.64496,6,Myeloid
cell_01637,7.22187,1.11597,6,Myeloid
cell_01638,7.34002,1.51680,6,Myeloid
cell_01639,5.62149,0.92460,6,Myeloid
cell_01640,8.34940,-0.08911,6,Myeloid
cell_01641,7.51871,0.35550,6,Myeloid
cell_01642,7.71458,2.15286,6,Myeloid
cell_01643,8.06535,1.91738,6,Myeloid
cell_01644,6.77633,1.17511,6,Myeloid
cell_01645,8.04869,1.68368,6,Myeloid
cell_01646,7.32694,1.05401,6,Myeloid
cell_01647,8.08927,0.38792,6,Myeloid
cell_01648,6.92635,1.68949,6,Myeloid
cell_01649,7.48643,1.20313,6,Myeloid
cell_01650,7.84312,1.10267,6,Myeloid
cell_01651,7.18116,0.97439,6,Myeloid
cell_01652,7.97424,1.17014,6,Myeloid
cell_01653,7.01957,1.40665,6,Myeloid
cell_01654,8.66447,1.08967,6,Myeloid
cell_01655,7.57845,0.18631,6,Myeloid
cell_01656,8.49630,0.06534,6,Myeloid
cell_01657,7.91572,1.50783,6,Myeloid
cell_01658,7.49176,1.73939,6,Myeloid
cell_01659,8.02098,0.82380,6,Myeloid
cell_01660,8.57138,0.74997,6,Myeloid
cell_01661,7.66259,1.41783,6,Myeloid
cell_01662,8.06252,2.27428,6,Myeloid
cell_01663,7.63947,1.77392,6,Myeloid
